Timestamp,"By ticking the box below , you agree to having read and understood the text above and provide your answers voluntarily for the purpose of this study",Which of the following money-generating pathway/s are you currently focusing on? (i.e. you are actively preparing yourself for it or already engaged in it) ,What is your gender?,What is your age?,Please select the region in which you have lived most of your life.,Please select the option that fits the country in which you've spent most of your life.,"Are you an IBA, GEM, or IEM major?",What is your major? ,Are you or have you been involved in IBCM and/or JSC?,"What is your GPA? (German scale, please base it off your overall study results, e.g. 1.33)","Do you have frequent exposure to personal finance content? 1 hour per week or more dedicated to books, articles, videos, podcasts, voluntary courses, etc.",Did one of your parents/guardians make money through employment?,Have you lived for more than one (1) year in Germany?,Did one of your parents/guardians make money through self-employment?,Did one of your parents/guardians make money through investments?,Did one of your parents/guardians make money through  large business ownership?,"How much do you value financial safety and certainty when making financial decisions? (e.g. a purchase, investment, job security, or planning for the future)",How perfectionist do you consider yourself to be?,How much of a leader do you consider yourself to be?,How much do you like teamwork?,"Has moving to Germany (if applicable) had an impact on how you manage your money, plan for your financial future, and/or altered your mindset when it comes to money? Why or why not?",Do you consistently spend time with people who are interested and continuously engaged in personal finance topics?
1/19/2023 16:53:10,Agree to participate in this questionnaire,"Investor, Business owner",Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,1.42,Yes,Yes,Yes,No,No,No,1,3,5,4,,4
1/19/2023 17:03:12,Agree to participate in this questionnaire,"Investor, Business owner",Male,21,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,Yes,1.5,Yes,Yes,Yes,No,No,No,1,2,4,5,,5
1/19/2023 17:24:22,Agree to participate in this questionnaire,Business owner,Male,21,Western Europe,"High income, Upper-middle income",No,IRPH,No,1.67,Yes,Yes,Yes,No,No,No,2,1,5,4,,4
1/19/2023 18:02:05,Agree to participate in this questionnaire,"Self-employment, Investor, Business owner",Male,22,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IBA,Yes,1.3,Yes,Yes,Yes,Yes,Yes,Yes,2,5,3,2,,3
1/19/2023 18:33:41,I agree to participate in this questionnaire,Investor,Female,21,Latin America and the Caribbean,"Lower-middle income, Low income",No,ISCP,No,1.08,No,Yes,Yes,Yes,Yes,No,1,2,3,3,,5
1/19/2023 18:40:21,I agree to participate in this questionnaire,Business owner,Female,23,Western Europe,"High income, Upper-middle income",Yes,IEM,No,2.97,Yes,Yes,No,Yes,Yes,No,2,2,5,5,,5
1/19/2023 20:13:20,I agree to participate in this questionnaire,Employment,Male,21,South Asia,"Lower-middle income, Low income",Yes,IEM,No,1.67,No,Yes,Yes,No,No,No,5,4,1,1,,1
1/20/2023 0:21:07,I agree to participate in this questionnaire,Business owner,Female,20,Eastern Europe,"Lower-middle income, Low income",Yes,IEM,No,1.33,Yes,Yes,Yes,No,Yes,No,1,2,5,5,,5
1/20/2023 1:24:29,I agree to participate in this questionnaire,Employment,Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,No,2,No,Yes,Yes,No,Yes,No,5,5,1,1,,2
1/20/2023 4:37:22,I agree to participate in this questionnaire,Employment,Female,20,Middle East and North Africa,"Lower-middle income, Low income",No,IRPH,No,2,Yes,Yes,Yes,No,No,No,4,4,1,1,,1
1/20/2023 5:12:25,I agree to participate in this questionnaire,Employment,Male,20,Western Europe,"High income, Upper-middle income",Yes,IBA,No,3.44,No,Yes,Yes,No,Yes,No,5,5,1,2,,2
1/20/2023 16:17:35,I agree to participate in this questionnaire,Self-employed,Female,22,Middle East and North Africa,"High income, Upper-middle income",Yes,GEM,Yes,1.1,Yes,Yes,Yes,Yes,Yes,No,3,4,5,4,No. I always cared for managing my money and my expenses to better benefit from it in thr future,3
1/21/2023 10:09:46,I agree to participate in this questionnaire,Employee,Female,20,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IEM,No,2,No,No,Yes,Yes,Yes,No,4,5,4,5,Since I maintain myself managing the money I get from my job is a big impact. I consider all the possible situations a could be in the future. ,5
1/21/2023 10:18:08,I agree to participate in this questionnaire,Employee,Female,20,Eastern Europe,"Lower-middle income, Low income",Yes,IEM,No,1.3,Yes,Yes,Yes,No,Yes,No,5,5,5,5,"It has, i am more self aware, more cautious,very different from back home since its my own money that I am earning and since my parents are senfing me the money I am more careful about it.",3
1/22/2023 0:42:02,I agree to participate in this questionnaire,Employee,Male,20,Western Europe,"High income, Upper-middle income",Yes,IBA,No,3.4,Yes,Yes,Yes,No,Yes,No,3,2,2,3,,2
1/22/2023 11:23:51,I agree to participate in this questionnaire,"Self-employed, Investor",Female,21,Latin America and the Caribbean,"Lower-middle income, Low income",No,ISCP,No,1.08,No,Yes,Yes,Yes,Yes,No,4,4,3,3,I had to learn to manage my personal finances,5
1/22/2023 16:24:13,I agree to participate in this questionnaire,"Self-employed, Investor, Business owner",Male,22,Latin America and the Caribbean,"High income, Upper-middle income",Yes,IBA,Yes,1.3,Yes,Yes,Yes,Yes,Yes,Yes,4,5,5,3,Yes,5
1/23/2023 10:27:27,I agree to participate in this questionnaire,Employee,Male,21,North America,"High income, Upper-middle income",Yes,IEM,Yes,1.6,Yes,Yes,Yes,Yes,No,No,5,3,5,5,"Germany values security over everything, especially when it comes to finances. Rather than blindly adopt this approach, I try to learn from it while maintaining my own “best practices”.",3
