Timestamp,"By ticking the box below , you agree to having read and understood the text above and provide your answers voluntarily for the purpose of this study",Which of the following money-generating pathway/s are you currently focusing on? (i.e. you are actively preparing yourself for it or already engaged in it) ,What is your gender?,What is your age?,Please select the region in which you have lived most of your life.,Please select the option that fits the country in which you've spent most of your life.,"Are you an IBA, GEM, or IEM major?",What is your major? ,Are you or have you been involved in IBCM and/or JSC?,"What is your GPA? (German scale, please base it off your overall study results, e.g. 1.33)","Do you have frequent exposure to personal finance content? 1 hour per week or more dedicated to books, articles, videos, podcasts, voluntary courses, etc.",Did one of your parents/guardians make money through employment?,Have you lived for more than one (1) year in Germany?,Did one of your parents/guardians make money through self-employment?,Did one of your parents/guardians make money through investments?,Did one of your parents/guardians make money through  large business ownership?,"How much do you value financial safety and certainty when making financial decisions? (e.g. a purchase, investment, job security, or planning for the future)",How perfectionist do you consider yourself to be?,How much of a leader do you consider yourself to be?,How much do you like teamwork?,"Has moving to Germany (if applicable) had an impact on how you manage your money, plan for your financial future, and/or altered your mindset when it comes to money? Why or why not?",Do you consistently spend time with people who are interested and continuously engaged in personal finance topics?
1/20/2023 0:21:07,I agree to participate in this questionnaire,Business owner,Female,20,Eastern Europe,"Lower-middle income, Low income",Yes,IEM,No,1.33,Yes,Yes,Yes,No,Yes,No,1,2,5,5,,5
1/19/2023 17:24:22,Agree to participate in this questionnaire,Business owner,Male,21,Western Europe,"High income, Upper-middle income",No,IRPH,No,1.67,Yes,Yes,Yes,No,No,No,2,1,5,4,,4
3/9/2023 4:35:01,I agree to participate in this questionnaire,Business owner,Female,18,Eastern Europe,"Lower-middle income, Low income",No,CBT,No,2,No,Yes,No,Yes,Yes,No,4,4,4,5,,4
2/8/2023 4:36:30,I agree to participate in this questionnaire,Business owner,Male,19,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,IBA,No,2.1,No,Yes,Yes,No,Yes,No,4,4,4,3,"yes, because living here without my parents made me think more of how important is to have a good management of your own money ",4
2/17/2023 8:00:22,I agree to participate in this questionnaire,Business owner,Male,18,Western Europe,"Lower-middle income, Low income",No,CS,Yes,2.38,No,Yes,No,No,Yes,Yes,5,0,5,2,,3
3/10/2023 5:27:34,I agree to participate in this questionnaire,Business owner,Male,19,North America,"High income, Upper-middle income",Yes,IEM,Yes,2.52,Yes,No,Yes,No,Yes,Yes,1,2,4,4,,3
3/10/2023 5:29:03,I agree to participate in this questionnaire,Business owner,Female,24,Middle East and North Africa,"Lower-middle income, Low income",Yes,IEM,Yes,2.57,Yes,Yes,Yes,No,No,No,2,2,5,5,,5
1/19/2023 18:40:21,I agree to participate in this questionnaire,Business owner,Female,23,Western Europe,"High income, Upper-middle income",Yes,IEM,No,2.97,Yes,Yes,No,Yes,Yes,No,2,2,5,5,,5
3/2/2023 14:06:08,I agree to participate in this questionnaire,Business owner,Male,20,North America,"High income, Upper-middle income",Yes,IBA,Yes,3,Yes,No,Yes,No,Yes,Yes,0,1,5,5,,5
3/2/2023 14:11:03,I agree to participate in this questionnaire,Business owner,Male,22,Latin America and the Caribbean,"Lower-middle income, Low income",Yes,GEM,Yes,3.33,Yes,Yes,Yes,Yes,No,No,1,0,5,5,,5
3/7/2023 4:00:37,I agree to participate in this questionnaire,Business owner,Female,20,North America,"High income, Upper-middle income",Yes,IBA,Yes,3.33,Yes,No,Yes,No,Yes,Yes,1,1,5,5,,5
3/7/2023 5:16:34,I agree to participate in this questionnaire,Business owner,Female,22,Western Europe,"High income, Upper-middle income",Yes,GEM,Yes,3.33,Yes,Yes,Yes,No,Yes,No,1,1,4,5,,5
3/10/2023 5:21:46,I agree to participate in this questionnaire,Business owner,Male,22,Western Europe,"High income, Upper-middle income",Yes,IEM,Yes,3.33,Yes,No,Yes,No,Yes,Yes,0,1,5,5,,5
2/6/2023 4:38:56,I agree to participate in this questionnaire,Business owner,Female,21,Africa,"High income, Upper-middle income",No,ECE,No,3.5,No,Yes,No,Yes,Yes,No,4,4,5,5,yes because I have to budget most of the things myself so that I do not go broke or overspent which will be detrimental to my health and stay in the country,2
