,quadrant,male,age,region,country_income,iba_iem_gem,major,ibcm_jsc,gpa,finance,parents_employmnent,germany,parents_self,parents_invest,parents_business,safety,perfectionist,leader,teamwork,open_ended,people,Investor,Employee,Self-employed,None of the above,Business owner
0,Business owner,0,20,Eastern Europe,0,1,IEM,0,1.33,1,1,1,0,1,0,1,2,5,5,,5,0,0,0,0,1
1,Business owner,1,21,Western Europe,1,0,IRPH,0,1.67,1,1,1,0,0,0,2,1,5,4,,4,0,0,0,0,1
2,Business owner,0,18,Eastern Europe,0,0,CBT,0,2.0,0,1,0,1,1,0,4,4,4,5,,4,0,0,0,0,1
3,Business owner,1,19,Latin America and the Caribbean,0,1,IBA,0,2.1,0,1,1,0,1,0,4,4,4,3,"yes, because living here without my parents made me think more of how important is to have a good management of your own money ",4,0,0,0,0,1
4,Business owner,1,18,Western Europe,0,0,CS,1,2.38,0,1,0,0,1,1,5,0,5,2,,3,0,0,0,0,1
5,Business owner,1,19,North America,1,1,IEM,1,2.52,1,0,1,0,1,1,1,2,4,4,,3,0,0,0,0,1
6,Business owner,0,24,Middle East and North Africa,0,1,IEM,1,2.57,1,1,1,0,0,0,2,2,5,5,,5,0,0,0,0,1
7,Business owner,0,23,Western Europe,1,1,IEM,0,2.97,1,1,0,1,1,0,2,2,5,5,,5,0,0,0,0,1
8,Business owner,1,20,North America,1,1,IBA,1,3.0,1,0,1,0,1,1,0,1,5,5,,5,0,0,0,0,1
9,Business owner,1,22,Latin America and the Caribbean,0,1,GEM,1,3.33,1,1,1,1,0,0,1,0,5,5,,5,0,0,0,0,1
10,Business owner,0,20,North America,1,1,IBA,1,3.33,1,0,1,0,1,1,1,1,5,5,,5,0,0,0,0,1
11,Business owner,0,22,Western Europe,1,1,GEM,1,3.33,1,1,1,0,1,0,1,1,4,5,,5,0,0,0,0,1
12,Business owner,1,22,Western Europe,1,1,IEM,1,3.33,1,0,1,0,1,1,0,1,5,5,,5,0,0,0,0,1
13,Business owner,0,21,Africa,1,0,ECE,0,3.5,0,1,0,1,1,0,4,4,5,5,yes because I have to budget most of the things myself so that I do not go broke or overspent which will be detrimental to my health and stay in the country,2,0,0,0,0,1
14,Business owner,0,22,Western Europe,1,1,GEM,1,3.5,1,0,1,1,1,1,0,2,4,4,,5,0,0,0,0,1
15,Business owner,0,23,Africa,0,1,IBA,1,4.0,1,1,1,0,0,0,0,0,5,5,,5,0,0,0,0,1
16,Business owner,1,23,North America,1,1,IBA,1,4.0,1,0,1,0,1,1,0,1,5,4,,5,0,0,0,0,1
17,Employee,0,21,Africa,0,0,CBT,0,1.0,0,1,0,0,0,0,5,5,1,1,,1,0,1,0,0,0
18,Employee,1,21,Eastern Europe,0,0,Aerospace Engineering Sergei Belussov,0,1.12,0,0,0,0,0,0,3,3,3,3,No. I am Ukrain.,0,0,1,0,0,0
