,Year,Item,Yield (tonnes/ha),Harvest (ha),Production (tonnes),Change (C),Annual Mean Precipitation,Air Temp Mean,Frost Days,Hot Days,Ice Days,Summer Days,Sunshine Duration,Tropical Nights,Monthly Average
0,1961,Barley,2.364,1552018,3669020.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
1,1961,"Beans, dry",1.8841,6737,12693.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
2,1961,"Broad beans and horse beans, dry",2.3147,34951,80900.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
3,1961,"Broad beans and horse beans, green",12.4613,1613,20100.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
4,1961,Cabbages,28.4699,30553,869841.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
5,1961,Carrots and turnips,25.3136,7931,200762.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
6,1961,Cauliflowers and broccoli,17.8941,7206,128945.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
7,1961,Cucumbers and gherkins,10.9774,8881,97490.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
8,1961,"Flax, processed but not spun",0.3319,25701,8530.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
9,1961,Hempseed,0.1679,3461,581.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
10,1961,Hop cones,1.4012,9903,13876.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
11,1961,"Lentils, dry",0.4167,12,5.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
12,1961,Linseed,0.3391,25701,8715.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
13,1961,Lupins,0.7207,18591,13398.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
14,1961,Maize (corn),2.8979,9024,26151.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
15,1961,Mixed grain,2.3535,721349,1697670.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
16,1961,Mustard seed,0.6544,5368,3513.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
17,1961,Oats,2.5789,1073586,2768654.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
18,1961,"Onions and shallots, dry (excluding dehydrated)",17.6567,4026,71086.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
19,1961,"Other beans, green",7.973,10754,85742.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
20,1961,"Other oil seeds, n.e.c.",0.8331,1612,1343.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
21,1961,Other pulses n.e.c.,2.1714,21474,46628.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
22,1961,"Peas, dry",1.3891,40581,56373.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
23,1961,"Peas, green",8.277,12083,100011.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
24,1961,Poppy seed,0.6248,4507,2816.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
25,1961,Potatoes,18.059,1658205,29945536.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
26,1961,Rape or colza seed,1.5652,157418,246383.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
27,1961,Rye,2.0012,2008314,4019138.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
28,1961,Sugar beet,29.8925,477937,14286746.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
29,1961,Tomatoes,25.6043,2474,63345.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
30,1961,"True hemp, raw or retted",0.3328,3576,1190.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
31,1961,Unmanufactured tobacco,1.611,8200,13210.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
32,1961,Vetches,0.8291,12519,10379.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
33,1961,Wheat,2.8607,1774628,5076707.0,0.99,779.53,8.94,72.64,3.97,20.91,26.75,0.17833333333333334,0.0,317.64416666666665
34,1962,Barley,3.2451,1512480,4908212.0,-0.751,658.26,7.15,105.31,2.34,32.28,19.34,0.17786529680365298,0.01,318.45416666666665
35,1962,"Beans, dry",2.0266,7790,15787.0,-0.751,658.26,7.15,105.31,2.34,32.28,19.34,0.17786529680365298,0.01,318.45416666666665
36,1962,"Broad beans and horse beans, dry",2.512,41479,104195.0,-0.751,658.26,7.15,105.31,2.34,32.28,19.34,0.17786529680365298,0.01,318.45416666666665
