Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1985","1985","ha","116800","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1986","1986","ha","97100","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1987","1987","ha","101600","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1988","1988","ha","100000","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1989","1989","ha","99400","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1990","1990","ha","84400","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1991","1991","ha","39200","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1992","1992","ha","39200","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1993","1993","ha","39200","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1994","1994","ha","36400","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1995","1995","ha","36100","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1996","1996","ha","36400","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1997","1997","ha","35800","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1998","1998","ha","35800","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","1999","1999","ha","35800","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2000","2000","ha","125000","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2001","2001","ha","70000","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2002","2002","ha","54676","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2003","2003","ha","31164","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2004","2004","ha","32345","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2005","2005","ha","32339","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2006","2006","ha","32504","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2007","2007","ha","31721","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2008","2008","ha","31800","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2009","2009","ha","31813","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2010","2010","ha","31819","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2011","2011","ha","31608","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2012","2012","ha","31640","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2013","2013","ha","31647","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2014","2014","ha","31465","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2015","2015","ha","31408","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2016","2016","ha","31334","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2017","2017","ha","33913","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2018","2018","ha","33980","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2019","2019","ha","33980","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2020","2020","ha","33980","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5312","Area harvested","01341","Apples","2021","2021","ha","33980","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1985","1985","hg/ha","188887","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1986","1986","hg/ha","298878","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1987","1987","hg/ha","156787","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1988","1988","hg/ha","316443","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1989","1989","hg/ha","249808","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1990","1990","hg/ha","263272","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1991","1991","hg/ha","199184","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1992","1992","hg/ha","351480","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1993","1993","hg/ha","225102","A","Official figure"
