Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1961","1961","tonnes","851000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1962","1962","tonnes","2059000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1963","1963","tonnes","2216000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1964","1964","tonnes","1346000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1965","1965","tonnes","1424000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1966","1966","tonnes","1702000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1967","1967","tonnes","2732000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1968","1968","tonnes","1748000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1969","1969","tonnes","2913000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1970","1970","tonnes","1975000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1971","1971","tonnes","2309000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1972","1972","tonnes","1500000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1973","1973","tonnes","2320000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1974","1974","tonnes","1499477","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1975","1975","tonnes","2488968","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1976","1976","tonnes","1806949","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1977","1977","tonnes","1473564","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1978","1978","tonnes","2109260","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1979","1979","tonnes","2713069","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1980","1980","tonnes","2395094","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1981","1981","tonnes","1285644","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1982","1982","tonnes","3417125","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1983","1983","tonnes","2097458","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1984","1984","tonnes","2347783","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1985","1985","tonnes","2206203","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1986","1986","tonnes","2902106","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1987","1987","tonnes","1592954","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1988","1988","tonnes","3164425","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1989","1989","tonnes","2483089","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1990","1990","tonnes","2222019","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1991","1991","tonnes","780800","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1992","1992","tonnes","1377800","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1993","1993","tonnes","882400","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5510","Production","01341","Apples","1994","1994","tonnes","879500","A","Official figure"
