Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1961","1961","°C","0.99","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1962","1962","°C","-0.751","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1963","1963","°C","-1.085","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1964","1964","°C","-0.33","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1965","1965","°C","-0.815","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1966","1966","°C","0.406","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1967","1967","°C","0.868","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1968","1968","°C","0.204","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1969","1969","°C","-0.11","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1970","1970","°C","-0.831","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1971","1971","°C","0.034","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1972","1972","°C","-0.014","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1973","1973","°C","0.188","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1974","1974","°C","0.318","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1975","1975","°C","1.098","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1976","1976","°C","0.468","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1977","1977","°C","0.28","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1978","1978","°C","-0.176","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1979","1979","°C","-0.643","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1980","1980","°C","-0.19","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1981","1981","°C","0.293","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1982","1982","°C","0.436","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1983","1983","°C","1.067","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1984","1984","°C","-0.115","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1985","1985","°C","-0.804","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1986","1986","°C","-0.011","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1987","1987","°C","-0.565","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1988","1988","°C","0.887","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1989","1989","°C","1.484","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1990","1990","°C","1.565","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1991","1991","°C","0.279","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1992","1992","°C","1.22","E","Estimated value"
"ET","Temperature change","276","Germany","7271","Temperature change","7020","Meteorological year","1993","1993","°C","0.304","E","Estimated value"
