Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1985","1985","hg/ha","188887","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1986","1986","hg/ha","298878","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1987","1987","hg/ha","156787","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1988","1988","hg/ha","316443","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1989","1989","hg/ha","249808","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1990","1990","hg/ha","263272","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1991","1991","hg/ha","199184","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1992","1992","hg/ha","351480","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1993","1993","hg/ha","225102","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1994","1994","hg/ha","241621","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1995","1995","hg/ha","158809","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1996","1996","hg/ha","241236","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1997","1997","hg/ha","213575","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1998","1998","hg/ha","272961","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","1999","1999","hg/ha","289413","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2000","2000","hg/ha","250944","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2001","2001","hg/ha","254143","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2002","2002","hg/ha","269056","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2003","2003","hg/ha","262493","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2004","2004","hg/ha","302900","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2005","2005","hg/ha","275643","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2006","2006","hg/ha","291537","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2007","2007","hg/ha","337327","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2008","2008","hg/ha","329244","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2009","2009","hg/ha","336554","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2010","2010","hg/ha","262409","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2011","2011","hg/ha","284247","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2012","2012","hg/ha","307334","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2013","2013","hg/ha","253984","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2014","2014","hg/ha","354648","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2015","2015","hg/ha","309941","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2016","2016","hg/ha","329646","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2017","2017","hg/ha","175940","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2018","2018","hg/ha","352713","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2019","2019","hg/ha","291775","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2020","2020","hg/ha","301154","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01341","Apples","2021","2021","hg/ha","295653","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1985","1985","hg/ha","20624","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1986","1986","hg/ha","24951","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1987","1987","hg/ha","22613","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1988","1988","hg/ha","21073","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1989","1989","hg/ha","23448","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1990","1990","hg/ha","25781","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1991","1991","hg/ha","90000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1992","1992","hg/ha","50000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1993","1993","hg/ha","20000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1994","1994","hg/ha","10000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1995","1995","hg/ha","20000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1996","1996","hg/ha","30000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1997","1997","hg/ha","10000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1998","1998","hg/ha","20000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","1999","1999","hg/ha","20000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2000","2000","hg/ha","30000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2001","2001","hg/ha","10000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2002","2002","hg/ha","20000","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2003","2003","hg/ha","34906","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2004","2004","hg/ha","92264","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2005","2005","hg/ha","40755","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2006","2006","hg/ha","56604","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2007","2007","hg/ha","56364","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2008","2008","hg/ha","43044","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2009","2009","hg/ha","42012","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2010","2010","hg/ha","42826","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2011","2011","hg/ha","43350","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2012","2012","hg/ha","43874","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2013","2013","hg/ha","44398","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2014","2014","hg/ha","44005","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2015","2015","hg/ha","43772","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2016","2016","hg/ha","43120","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01343","Apricots","2017","2017","hg/ha","43444","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1961","1961","hg/ha","26312","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1962","1962","hg/ha","24633","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1963","1963","hg/ha","29160","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1964","1964","hg/ha","31099","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1965","1965","hg/ha","23984","I","Imputed value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1966","1966","hg/ha","33941","T","Unofficial figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1967","1967","hg/ha","26684","T","Unofficial figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1968","1968","hg/ha","31275","T","Unofficial figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1969","1969","hg/ha","27005","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1970","1970","hg/ha","28510","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1971","1971","hg/ha","31824","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1972","1972","hg/ha","28636","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1973","1973","hg/ha","30403","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1974","1974","hg/ha","25499","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1975","1975","hg/ha","26214","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1976","1976","hg/ha","26344","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1977","1977","hg/ha","25719","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1978","1978","hg/ha","25870","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1979","1979","hg/ha","23885","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1980","1980","hg/ha","22023","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1981","1981","hg/ha","24513","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1982","1982","hg/ha","24150","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1983","1983","hg/ha","23482","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1984","1984","hg/ha","23341","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1985","1985","hg/ha","26121","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1986","1986","hg/ha","27682","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1987","1987","hg/ha","22220","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1988","1988","hg/ha","24695","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1989","1989","hg/ha","25513","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1990","1990","hg/ha","27611","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1991","1991","hg/ha","24751","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1992","1992","hg/ha","37735","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1993","1993","hg/ha","36952","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1994","1994","hg/ha","33038","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1995","1995","hg/ha","34825","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1996","1996","hg/ha","34953","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1997","1997","hg/ha","37438","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1998","1998","hg/ha","40416","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","1999","1999","hg/ha","39538","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2000","2000","hg/ha","43800","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2001","2001","hg/ha","40488","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2002","2002","hg/ha","40217","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2003","2003","hg/ha","43252","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2004","2004","hg/ha","43309","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2005","2005","hg/ha","45680","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2006","2006","hg/ha","44537","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2007","2007","hg/ha","50664","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2008","2008","hg/ha","50257","A","Official figure"
"QCL","Crops and livestock products","276","Germany","5419","Yield","01211","Asparagus","2009","2009","hg/ha","53982","A","Official figure"
