Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Renju R.S., Deepthi P.S., Chitra M.T.","A Review of Crop Yield Prediction Strategies based on Machine Learning and Deep Learning",2022,"Proceedings of International Conference on Computing, Communication, Security and Intelligent Systems, IC3SIS 2022","10.1109/IC3SIS54991.2022.9885325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139110906&doi=10.1109%2fIC3SIS54991.2022.9885325&partnerID=40&md5=2cfaca5433ef045e290784cbf26c070e","Crop yield prediction is critical for solving increasing food security concerns, especially in the current climate change situation. Accurate forecasts will aid farmers in making financial and managerial decisions, thereby preventing food shortage. Machine learning (ML) techniques have proven an effective means for predicting the yield of crops, which greatly impact agricultural yield prediction where various Artificial Intelligence as well as deep learning techniques can be utilized. A detailed literature review has been performed in this work to analyze and explore various ML algorithms and to identify the features viz., weather, soil types and properties, fertilizers that highly influence the crop yield prediction. This study confirmed that the prediction accuracy depends mainly on the features considered for improving the crop yield prediction. © 2022 IEEE.","Crop yield prediction; deep learning; machine learning","Climate change; Deep learning; Food supply; Forecasting; Learning systems; 'current; Crop yield; Crop yield prediction; Deep learning; Financial decisions; Food security; Machine-learning; Managerial decision; On-machines; Yield prediction; Crops",Conference Paper,Scopus
"Kalaiarasi E., Anbarasi A.","Multi-parametric multiple kernel deep neural network for crop yield prediction",2022,"Materials Today: Proceedings","10.1016/j.matpr.2022.03.115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127577077&doi=10.1016%2fj.matpr.2022.03.115&partnerID=40&md5=acbc811966f77e98ad57565ac6d0760a","A rapid, precise and credible prediction of crop yield at a wider scale is more important than ever for crop management, the measurement of food production, food trading and policymaking to address the challenges of environmental change, increased population and food demand. Deep Learning (DL) models are recently well-known for predicting crop yields. Multi-parametric Deep Neural Network (MDNN) is a DL model employed to estimate the crop yield concerning multiple parameters such as climate and soil. A Growing-Degree Day (GDD) has been used to determine the impact of climate change on crop yield. The determined values along with the climate and soil parameters have been learned by the DNN to estimate the yield quality. The MDNN performs well with the huge volume of data and it is not suitable for the medium scale of data. The learning ability of MDNN is improved in this paper by proposing a Multi-parametric Multiple Kernel DNN (MMKDNN) to provide better crop yield prediction for medium-scale data. The effectiveness of the model built in the last hidden layer is solely determined by the intermediate representations of the input. The intermediate representation of the input in a neural network is combined through multiple kernel learning. The MMKDNN with increasing complexity representations is preserved in this way, but the output calculation, i.e. crop yield prediction, is free to use all of the network's knowledge. For five different types of crops, the experiments are conducted to assess the efficiency of the MMKDNN. © 2022","Crop yield prediction; DNN; GDD; Multi-parametric multiple kernel DNN; Multiple kernel learning","Climate change; Climate models; Crops; Forecasting; Learning systems; Crop yield; Crop yield prediction; DNN; Growing degree-days; Learning models; Medium-scale; Multi-parametric multiple kernel DNN; Multiple Kernel Learning; Multiple kernels; Yield prediction; Deep neural networks",Article,Scopus
"Manjula A., Narsimha G.","XCYPF: A flexible and extensible framework for agricultural Crop Yield Prediction",2015,"Proceedings of 2015 IEEE 9th International Conference on Intelligent Systems and Control, ISCO 2015","10.1109/ISCO.2015.7282311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959128680&doi=10.1109%2fISCO.2015.7282311&partnerID=40&md5=7e082c0f1e4af1c73708258a7efb3701","Precision agriculture is the technology driven approach for optimizing farm management in terms of inputs and outputs besides preserving resources. Towards this end many techniques came into existence. Data mining techniques are can be used towards precision agriculture. Numerous efforts have been made to exploit remote sensing data to build various indices for assessing productivity of crops. They include Temperature Condition Index (TCI), Vegetation Condition Index (VCI) and Normalized Difference Vegetation Index (NDVI). Crop yield prediction can help agriculture related departments and organizations to make strategic decisions. In this paper a novel framework named eXtensible Crop Yield Prediction Framework (XCYPF) is proposed that is flexible and extensible. It has provision for selection of crop, dependent and independent variables, datasets for crop yield prediction towards precision agriculture. The available indices are used along with rainfall data and surface temperature for crop yield prediction for rice and sugarcane crops. © 2015 IEEE.","Crop yield prediction; Data mining techniques; Precision agriculture; Spatial Data Mining","Atmospheric temperature; Crops; Data mining; Forecasting; Intelligent systems; Remote sensing; Vegetation; Crop yield; Extensible framework; Independent variables; Normalized difference vegetation index; Precision Agriculture; Spatial data mining; Temperature conditions; Vegetation condition indices; Agriculture",Conference Paper,Scopus
"van Klompenburg T., Kassahun A., Catal C.","Crop yield prediction using machine learning: A systematic literature review",2020,"Computers and Electronics in Agriculture","10.1016/j.compag.2020.105709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089952995&doi=10.1016%2fj.compag.2020.105709&partnerID=40&md5=63cf703d02e2d03004dd0ee46cef8448","Machine learning is an important decision support tool for crop yield prediction, including supporting decisions on what crops to grow and what to do during the growing season of the crops. Several machine learning algorithms have been applied to support crop yield prediction research. In this study, we performed a Systematic Literature Review (SLR) to extract and synthesize the algorithms and features that have been used in crop yield prediction studies. Based on our search criteria, we retrieved 567 relevant studies from six electronic databases, of which we have selected 50 studies for further analysis using inclusion and exclusion criteria. We investigated these selected studies carefully, analyzed the methods and features used, and provided suggestions for further research. According to our analysis, the most used features are temperature, rainfall, and soil type, and the most applied algorithm is Artificial Neural Networks in these models. After this observation based on the analysis of machine learning-based 50 papers, we performed an additional search in electronic databases to identify deep learning-based studies, reached 30 deep learning-based papers, and extracted the applied deep learning algorithms. According to this additional analysis, Convolutional Neural Networks (CNN) is the most widely used deep learning algorithm in these studies, and the other widely used deep learning algorithms are Long-Short Term Memory (LSTM) and Deep Neural Networks (DNN). © 2020 Elsevier B.V.","Crop yield prediction; Decision support system; Deep learning; Machine learning; Systematic literature review","Convolutional neural networks; Crops; Decision support systems; Deep learning; Deep neural networks; Forecasting; Learning systems; Long short-term memory; Predictive analytics; Decision support tools; Electronic database; Growing season; Inclusion and exclusions; Search criterion; Soil types; Systematic literature review; Systematic literature review (SLR); Learning algorithms; artificial neural network; crop yield; decision support system; growing season; literature review; machine learning; prediction",Review,Scopus
"Kaur A., Goyal P., Sharma K., Sharma L., Goyal N.","A Generalized Multimodal Deep Learning Model for Early Crop Yield Prediction",2022,"Proceedings - 2022 IEEE International Conference on Big Data, Big Data 2022","10.1109/BigData55660.2022.10020917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147932693&doi=10.1109%2fBigData55660.2022.10020917&partnerID=40&md5=e451f0d67c9b6db9436fa0ddc1740248","Early crop yield prediction is crucial in agriculture for making administrative plans to ensure food security, post harvest management and distribution of a crop. Remote sensing data captured using various satellites provide reliable phenological information for a crop through surface reflectance bands. Other important factors, affecting crop yield include meteorological and soil. The data which we have used for crop yield prediction is multimodal. It consists of spatiotemporal meteorological (numeric) and surface reflectance bands (satellite image), and temporally static soil (satellite image) data. We effectively utilize this multimodal data to develop the proposed multimodal deep learning model, CropYieldNet. The objective of the paper is to accurately predict crop yield using high resolution data obtained from recently launched satellites such as Landsat8 and Sentinel-2. We used contrastive learning in a supervised setting and data augmentation techniques to overcome the limited historical data available for training deep learning models.We introduce a depth-level selection module for effectively modelling the depth-variant information of soil data. We have also modified our model to perform in-season (early) crop yield prediction which is as accurate as end-season prediction. We evaluate our model for two crops, corn and soybean, on counties in US and districts in India using data from MODIS, Landsat8, and Sentinel-2 satellites. Our extensive experimentation show that our model outperforms competing models. Our experiments also show that CropYieldNet generalizes well when applied on different crops and geographies. © 2022 IEEE.","contrastive learning; crop yield prediction; data augmentation; Multimodal deep learning; satellite data","Deep learning; Food supply; Forecasting; Learning systems; Reflection; Remote sensing; Satellites; Soils; Contrastive learning; Crop yield; Crop yield prediction; Data augmentation; Learning models; Multi-modal; Multimodal deep learning; Satellite data; Surface reflectance; Yield prediction; Crops",Conference Paper,Scopus
"Engen M., Sandø E., Sjølander B.L.O., Arenberg S., Gupta R., Goodwin M.","Farm-scale crop yield prediction from multi-temporal data using deep hybrid neural networks",2021,"Agronomy","10.3390/agronomy11122576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121721691&doi=10.3390%2fagronomy11122576&partnerID=40&md5=ad63ea323f3a788d779ab35fc8bcac5c","Farm-scale crop yield prediction is a natural development of sustainable agriculture, pro-ducing a rich amount of food without depleting and polluting environmental resources. Recent studies on crop yield production are limited to regional-scale predictions. The regional-scale crop yield predictions usually face challenges in capturing local yield variations based on farm management decisions and the condition of the field. For this research, we identified the need to create a large and reusable farm-scale crop yield production dataset, which could provide precise farm-scale ground-truth prediction targets. Therefore, we utilise multi-temporal data, such as Sentinel-2 satellite images, weather data, farm data, grain delivery data, and cadastre-specific data. We introduce a deep hybrid neural network model to train this multi-temporal data. This model combines the features of convolutional layers and recurrent neural networks to predict farm-scale crop yield production across Norway. The proposed model could efficiently make the target predictions with the mean absolute error of 76 kg per 1000 m2. In conclusion, the reusable farm-scale multi-temporal crop yield dataset and the proposed novel model could meet the actual requirements for the prediction targets in this paper, providing further valuable insights for the research community. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Convolutional neural network; Deep learning; Farm-scale crop yield prediction; Hybrid neural network; Recurrent neural network; Sentinel-2 satellite remote sensing data",,Article,Scopus
"Terliksiz A.S., Altylar D.T.","Use of deep neural networks for crop yield prediction: A case study of soybean yield in lauderdale county, Alabama, USA",2019,"2019 8th International Conference on Agro-Geoinformatics, Agro-Geoinformatics 2019","10.1109/Agro-Geoinformatics.2019.8820257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072937932&doi=10.1109%2fAgro-Geoinformatics.2019.8820257&partnerID=40&md5=c69fae33211860282af5d044bd7b3c4e","World population is constantly increasing and it is necessary to have sufficient crop production. Monitoring crop growth and yield estimation are very important for the economic development of a nation. The prediction of crop yield has direct impact on national and international economies and play important role in the food management and food security. Deep learning gains importance on crop monitoring, crop type classification and crop yield estimation applications with the recent advances in image classification using deep Convolutional Neural Networks. Traditional crop yield prediction approaches based on remote sensing consist of classical Machine Learning methods such as Support Vector Machines and Decision Trees. Convolutional Neural Network CNN] and Long-Short Term Memory Network (LSTM] are deep neural network models that are proposed for crop yield prediction recently. This study focused on soybean yield prediction of Lauderdale County, Alabama, USA using 3D CNN model that leverages the spatiotemporal features. The yield is provided from USDA NASS Quick Stat tool for years 2003-2016. The satellite data used is collected from NASA's MODIS land products surface reflectance, land surface temperature and land surface temperature via Google Earth Engine. The root mean squared error (RMSE] is used as the evaluation metric in order to be able to compare the results with other methods that generally uses RMSE as the evaluation metric. © 2019 IEEE.","Convolutional neural networks; Crop yield prediction; Deep neural networks","3D modeling; Atmospheric temperature; Convolution; Crops; Cultivation; Decision trees; Food supply; Forecasting; Land surface temperature; Learning algorithms; Long short-term memory; Mean square error; NASA; Remote sensing; Support vector machines; Surface measurement; Surface properties; Convolutional neural network; Crop growth and yields; Crop type classification; Crop yield; International economy; Machine learning methods; Root mean squared errors; Spatio temporal features; Deep neural networks",Conference Paper,Scopus
"Hussain N., Sarfraz S., Javed S.","A Systematic Review on Crop-Yield Prediction through Unmanned Aerial Vehicles",2021,"ICET 2021 - 16th International Conference on Emerging Technologies 2021, Proceedings","10.1109/ICET54505.2021.9689838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126815791&doi=10.1109%2fICET54505.2021.9689838&partnerID=40&md5=01e459d6cc07b438da46c8af8ab5bee4","In recent years, with the increase in big data technologies the Machine learning is an important decision support tool, smart farming observes the behavior of climate change over the crops to predict the yield of the crop, whether the yield will be high or low in certain factors. A systematic literature review has been performed for the purpose of identifying the extent of research work in the field of crop yield prediction using machine learning based approaches. This study aims to perform comparative analysis over the existing approaches for the sake of identifying the most frequently reported issue in the crop yield prediction along with the approaches which are most suitable for the resolution of these issues. Study interprets, evaluate and identify the available researches related to the explicit field. This paper presents the significance of crop yeild prediction and how developing countries are adopting machine learing algorithms. The total 37 research articles has been selected over which the SLR is documented. The study shows that RF, SVm and CNN is most common algorithms for crop yeild prediction. © 2021 IEEE.","Crop Yield; Data mining; Recommendation; Systematic Litterature Review (SLR); yield Prediction","Antennas; Climate change; Crops; Data mining; Decision support systems; Developing countries; Machine learning; Unmanned aerial vehicles (UAV); Certain factor; Comparative analyzes; Crop yeilds; Crop yield; Data technologies; Recommendation; Systematic literature review; Systematic litterature review; Systematic Review; Yield prediction; Forecasting",Conference Paper,Scopus
"Crane-Droesch A.","Machine learning methods for crop yield prediction and climate change impact assessment in agriculture",2018,"Environmental Research Letters","10.1088/1748-9326/aae159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056865972&doi=10.1088%2f1748-9326%2faae159&partnerID=40&md5=48a4be477e1ad82bfd4537a60ac69397","Crop yields are critically dependent on weather. A growing empirical literature models this relationship in order to project climate change impacts on the sector. We describe an approach to yield modeling that uses a semiparametric variant of a deep neural network, which can simultaneously account for complex nonlinear relationships in high-dimensional datasets, as well as known parametric structure and unobserved cross-sectional heterogeneity. Using data on corn yield from the US Midwest, we show that this approach outperforms both classical statistical methods and fully-nonparametric neural networks in predicting yields of years withheld during model training. Using scenarios from a suite of climate models, we show large negative impacts of climate change on corn yield, but less severe than impacts projected using classical statistical methods. In particular, our approach is less pessimistic in the warmest regions and the warmest scenarios. © 2018 The Author(s). Published by IOP Publishing Ltd.","agriculture; climate change impacts; machine learning","Agriculture; Artificial intelligence; Climate models; Crops; Deep neural networks; Learning systems; Object oriented programming; Statistical methods; Climate change impact; Climate change impact assessments; Empirical literature; High dimensional datasets; Machine learning methods; Non-linear relationships; Parametric structure; Yield modeling; Climate change; agriculture; artificial neural network; assessment method; climate change; climate effect; climate modeling; crop yield; heterogeneity; machine learning; prediction; Midwest; United States; Zea mays",Article,Scopus
"Ananthara M.G., Arunkumar T., Hemavathy R.","CRY-An improved crop yield prediction model using bee hive clustering approach for agricultural data sets",2013,"Proceedings of the 2013 International Conference on Pattern Recognition, Informatics and Mobile Engineering, PRIME 2013","10.1109/ICPRIME.2013.6496717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876751206&doi=10.1109%2fICPRIME.2013.6496717&partnerID=40&md5=dcf2607357b28f0731793bce1eb56e9a","Agricultural researchers over the world insist on the need for an efficient mechanism to predict and improve the crop growth. The need for an integrated crop growth control with accurate predictive yield management methodology is highly felt among farming community. The complexity of predicting the crop yield is highly due to multi dimensional variable metrics and unavailability of predictive modeling approach, which leads to loss in crop yield. This research paper suggests a crop yield prediction model (CRY) which works on an adaptive cluster approach over dynamically updated historical crop data set to predict the crop yield and improve the decision making in precision agriculture. CRY uses bee hive modeling approach to analyze and classify the crop based on crop growth pattern, yield. CRY classified dataset had been tested using Clementine over existing crop domain knowledge. The results and performance shows comparison of CRY over with other cluster approaches. © 2013 IEEE.","Bee Hive clustering algorithm; Crop Growth; Crop yield prediction; Precision Agriculture","Agricultural Data sets; Clustering approach; Crop growth; Crop yield; Farming communities; Multi dimensional; Precision Agriculture; Predictive modeling; Clustering algorithms; Forecasting; Information science; Mathematical models; Pattern recognition; Crops",Conference Paper,Scopus
