Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Josephine B.M., Ramya K.R., Rao K.V.S.N.R., Kuchibhotla S., Rahamathulla S.","Crop yield prediction using machine learning",2020,"International Journal of Scientific and Technology Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079648619&partnerID=40&md5=40847128a2af7065b954988cf111b723","Agriculture plays big role in populated countries like Bharat. AsCrop yields are basically subject to climate. A developing exact writing models this relationship so as to extend environmental change impacts on the part. We describe an approach to predict millet crop yield prediction, which can be done by taking high dimensional datasets. By using Random Forest Classifier, we obtained 99.74% of accuracy in calculating the millet crop yield prediction by taking various input fields like soil, min temp, max temp, humidity, rainfall, etc.Thus, Millet Crop Yield Prediction is an important agricultural problem this work will help the farmers to identify the crop losses and prevent it in future. We would like to extend this work to predict and find out the accuracy of millet crop yield for both Support Vector Machine(SVM) and Linear Regression (LR). © IJSTR 2020.","Crop yield prediction; Linear regression; Machine learning; Millet crop yield; Random forest algorithm; Support vector machine",,Article,Scopus
"van Klompenburg T., Kassahun A., Catal C.","Crop yield prediction using machine learning: A systematic literature review",2020,"Computers and Electronics in Agriculture","10.1016/j.compag.2020.105709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089952995&doi=10.1016%2fj.compag.2020.105709&partnerID=40&md5=63cf703d02e2d03004dd0ee46cef8448","Machine learning is an important decision support tool for crop yield prediction, including supporting decisions on what crops to grow and what to do during the growing season of the crops. Several machine learning algorithms have been applied to support crop yield prediction research. In this study, we performed a Systematic Literature Review (SLR) to extract and synthesize the algorithms and features that have been used in crop yield prediction studies. Based on our search criteria, we retrieved 567 relevant studies from six electronic databases, of which we have selected 50 studies for further analysis using inclusion and exclusion criteria. We investigated these selected studies carefully, analyzed the methods and features used, and provided suggestions for further research. According to our analysis, the most used features are temperature, rainfall, and soil type, and the most applied algorithm is Artificial Neural Networks in these models. After this observation based on the analysis of machine learning-based 50 papers, we performed an additional search in electronic databases to identify deep learning-based studies, reached 30 deep learning-based papers, and extracted the applied deep learning algorithms. According to this additional analysis, Convolutional Neural Networks (CNN) is the most widely used deep learning algorithm in these studies, and the other widely used deep learning algorithms are Long-Short Term Memory (LSTM) and Deep Neural Networks (DNN). © 2020 Elsevier B.V.","Crop yield prediction; Decision support system; Deep learning; Machine learning; Systematic literature review","Convolutional neural networks; Crops; Decision support systems; Deep learning; Deep neural networks; Forecasting; Learning systems; Long short-term memory; Predictive analytics; Decision support tools; Electronic database; Growing season; Inclusion and exclusions; Search criterion; Soil types; Systematic literature review; Systematic literature review (SLR); Learning algorithms; artificial neural network; crop yield; decision support system; growing season; literature review; machine learning; prediction",Review,Scopus
"Khaki S., Wang L., Archontoulis S.V.","A CNN-RNN Framework for Crop Yield Prediction",2020,"Frontiers in Plant Science","10.3389/fpls.2019.01750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079196653&doi=10.3389%2ffpls.2019.01750&partnerID=40&md5=2c494bc9eb897d74d198a0100385d2ea","Crop yield prediction is extremely challenging due to its dependence on multiple factors such as crop genotype, environmental factors, management practices, and their interactions. This paper presents a deep learning framework using convolutional neural networks (CNNs) and recurrent neural networks (RNNs) for crop yield prediction based on environmental data and management practices. The proposed CNN-RNN model, along with other popular methods such as random forest (RF), deep fully connected neural networks (DFNN), and LASSO, was used to forecast corn and soybean yield across the entire Corn Belt (including 13 states) in the United States for years 2016, 2017, and 2018 using historical data. The new model achieved a root-mean-square-error (RMSE) 9% and 8% of their respective average yields, substantially outperforming all other methods that were tested. The CNN-RNN has three salient features that make it a potentially useful method for other crop yield prediction studies. (1) The CNN-RNN model was designed to capture the time dependencies of environmental factors and the genetic improvement of seeds over time without having their genotype information. (2) The model demonstrated the capability to generalize the yield prediction to untested environments without significant drop in the prediction accuracy. (3) Coupled with the backpropagation method, the model could reveal the extent to which weather conditions, accuracy of weather predictions, soil conditions, and management practices were able to explain the variation in the crop yields. © Copyright © 2020 Khaki, Wang and Archontoulis.","convolutional neural networks; crop yield prediction; deep learning; feature selection; recurrent neural networks",,Article,Scopus
"Bi L., Hu G.","A genetic algorithm-assisted deep learning approach for crop yield prediction",2021,"Soft Computing","10.1007/s00500-021-05995-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109674585&doi=10.1007%2fs00500-021-05995-9&partnerID=40&md5=8fff9c8b7323fd851bf57b01c4de83e0","The world population continues to increase which imposes rising demand in agriculture production. How to improve crop breeding to feed the growing population is a significant challenge. The traditional crop breeding is resource-intensive and time-consuming. Predictive modeling on crop yield can speed up the breeding process and make it resource-efficient. In this paper, a genetic algorithm (GA)-assisted deep learning solution method is proposed for the crop yield prediction. The proposed method consists of two phases, i.e., the global search phase and the local search phase. In the global search phase, GA is used to search for the best initial weights of the neural network. In the local search phase, random perturbation is added to avoid the local optimum and vanishing gradient problems. A case study of crop yield prediction is conducted to compare the proposed method and other gradient-based methods. The results show that the proposed method outperforms the gradient-based methods in terms of convergence speed and prediction accuracy. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Crop yield prediction; Genetic algorithm; Gradient descent; Neural network","Agricultural robots; Crops; Forecasting; Genetic algorithms; Learning algorithms; Local search (optimization); Predictive analytics; Random processes; Agriculture productions; Convergence speed; Gradient-based method; Learning approach; Prediction accuracy; Predictive modeling; Random perturbations; Vanishing gradient; Deep learning",Article,Scopus
"Ju S., Lim H., Ma J.W., Kim S., Lee K., Zhao S., Heo J.","Optimal county-level crop yield prediction using MODIS-based variables and weather data: A comparative study on machine learning models",2021,"Agricultural and Forest Meteorology","10.1016/j.agrformet.2021.108530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110734477&doi=10.1016%2fj.agrformet.2021.108530&partnerID=40&md5=16b5067d4c461e360d1393d8ffc7d9fa","Accurate crop yield prediction for more precise forecasting of price volatility in crop markets, better agricultural planning and enhanced national food security is one of the important utilities of crop monitoring systems. Due to the spatiotemporal nonlinear characteristic of crop yields, recent studies have actively used various machine learning approaches to predict crop yields. However, there are few studies that have compared these approaches, and even in those cases, the comparison was restricted to one or two crops or a specific region. In this study, we evaluated seven popular machine learning approaches, for the same input variables, over three crops: paddy rice in South Korea and corn and soybean in Illinois and Iowa, USA. Based on the data from April to September, six time-series scenarios of different range of months for each crop were tested for prediction accuracy with 14-year (2003-2016). The time-series data include vegetation indices from Moderate resolution imaging spectroradiometer (MODIS), weather data, crop yield statistics, and a land cover map of county-level spatial resolution and 16-day-aggregated temporal resolution. In the results, regardless of crop type, support vector machine (SVM) presented the most accurate result with the lowest average root mean square error (RRMSE), in comparison with a decision tree (DT), random forest (RF), artificial neural network (ANN), stacked-sparse autoencoder (SSAE), convolutional neural network (CNN), and long short-term memory (LSTM). Also, we derived best cases for each crop yield prediction out of six time-series scenarios, which were May – September data for rice and corn and June – August data for soybean for the test sites. Considering all of the findings together, SVM is an appropriate method for crop yield prediction based on MODIS-based vegetation indices and weather data of county-level spatial resolution and approximately one-half-month temporal resolution. © 2021 Elsevier Ltd","Crop yield prediction; Machine learning; MODIS; Weather data","artificial nest; artificial neural network; comparative study; crop yield; data set; earthquake prediction; land cover; machine learning; MODIS; prediction; Illinois; Iowa; South Korea; United States; Glycine max",Article,Scopus
"Engen M., Sandø E., Sjølander B.L.O., Arenberg S., Gupta R., Goodwin M.","Farm-scale crop yield prediction from multi-temporal data using deep hybrid neural networks",2021,"Agronomy","10.3390/agronomy11122576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121721691&doi=10.3390%2fagronomy11122576&partnerID=40&md5=ad63ea323f3a788d779ab35fc8bcac5c","Farm-scale crop yield prediction is a natural development of sustainable agriculture, pro-ducing a rich amount of food without depleting and polluting environmental resources. Recent studies on crop yield production are limited to regional-scale predictions. The regional-scale crop yield predictions usually face challenges in capturing local yield variations based on farm management decisions and the condition of the field. For this research, we identified the need to create a large and reusable farm-scale crop yield production dataset, which could provide precise farm-scale ground-truth prediction targets. Therefore, we utilise multi-temporal data, such as Sentinel-2 satellite images, weather data, farm data, grain delivery data, and cadastre-specific data. We introduce a deep hybrid neural network model to train this multi-temporal data. This model combines the features of convolutional layers and recurrent neural networks to predict farm-scale crop yield production across Norway. The proposed model could efficiently make the target predictions with the mean absolute error of 76 kg per 1000 m2. In conclusion, the reusable farm-scale multi-temporal crop yield dataset and the proposed novel model could meet the actual requirements for the prediction targets in this paper, providing further valuable insights for the research community. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Convolutional neural network; Deep learning; Farm-scale crop yield prediction; Hybrid neural network; Recurrent neural network; Sentinel-2 satellite remote sensing data",,Article,Scopus
"Samundeeswari K., Srinivasan K.","Soil Data Analysis and Crop Yield Prediction in Data Mining using R-Tool",2021,"Indian Journal of Agricultural Research","10.18805/IJARe.A-5449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108572028&doi=10.18805%2fIJARe.A-5449&partnerID=40&md5=78a28c32cb4e99cc7be76462c562dfb3","Background: Crop yield prediction is an important issue for the proper selection of crop for sowing. Earlier prediction of crop is done by the farmer’s experience on a particular type of field and crop. Predicting the crop is done by the farmer’s experience based on the factors like soil types, climatic condition, seasons and weather, rainfall and irrigation facilities. Methods: Data mining techniques is the better choice for predicting the crop. Different Data Mining techniques are used and evaluated in agriculture for estimating the future year’s crop production. This research proposes and implements a system to predict crop yield from soil data. This is achieved by applying Decision Tree Algorithm on agricultural data. The main aim of this research is to pinpoint the accuracy of Decision Tree Algorithm and C 5.0 algorithm which is used to predict the crop yield. Result: This paper presents a brief analysis of Crop yield prediction using data mining technique based decision tree algorithm and C5.0 algorithm for the selected region (Krishnagiri) district of Tamil Nadu in India. The experimental result shows that the proposed work efficiently to determine the accuracy of decision tree algorithm and also to predict the crop yield production using R-Tool. © 2021. All Rights Reserved.","Crop yield prediction; Data mining; Decision tree algorithm; R-Tool; Soil data set",,Article,Scopus
"Maya Gopal P.S., Bhargavi R.","A novel approach for efficient crop yield prediction",2019,"Computers and Electronics in Agriculture","10.1016/j.compag.2019.104968","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070974319&doi=10.1016%2fj.compag.2019.104968&partnerID=40&md5=1e5055c74b9dc7aa86b2ac9e43394d81","Crop yield prediction is one of the challenging task in agricultural domain. Extensive research in agricultural domain has been carried out to predict better crop yield using the machine learning algorithm Artificial Neural Network (ANN) and statistical model Multiple Linear Regression (MLR). This article examines the intrinsic relationship between MLR and ANN. A hybrid MLR-ANN model has been proposed in this research work for efficient crop yield prediction. The proposed hybrid model is modeled to analyze the prediction accuracy when MLR intercept and coefficients were applied to initialize the ANN's input layer weights and bias. Feed Forward Artificial Neural Network with Back Propagation training algorithm was used for predicting accurate paddy crop yield. In conventional ANN model, the weights and bias of input and hidden layer are initilized randomly. This hybrid MLR-ANN model, instead of random weights and bias initialization, the input layer weights and bias are initialized by using MLR's coefficients and bias. The hybrid model prediction accuracy is compared with ANN, MLR, Support Vector Regression (SVR), k-Nearest Neighbour (KNN) and Random Forest (RF) models by using performance metrics. The computational time for both hybrid MLR-ANN and conventional ANN was calculated. The results show that the proposed hybrid MLR-ANN model gives better accuracy than the conventional models. © 2019","Artificial Neural Network; Crop yield prediction; Feature selection; Multiple linear regression; Performance metrics; Weight initialization","Backpropagation algorithms; Crops; Decision trees; Feature extraction; Feedforward neural networks; Learning algorithms; Linear regression; Machine learning; Nearest neighbor search; Neural networks; Back-propagation training algorithms; Crop yield; Feed-forward artificial neural networks; K nearest neighbours (k-NN); Multiple linear regressions; Performance metrics; Support vector regression (SVR); Weight initialization; Forecasting; accuracy assessment; artificial neural network; back propagation; crop yield; machine learning; model; multiple regression; prediction",Article,Scopus
"Reddy D.J., Kumar M.R.","Crop yield prediction using machine learning algorithm",2021,"Proceedings - 5th International Conference on Intelligent Computing and Control Systems, ICICCS 2021","10.1109/ICICCS51141.2021.9432236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107554605&doi=10.1109%2fICICCS51141.2021.9432236&partnerID=40&md5=1303c4191777f12831f94690ebe45f8a","Agriculture is the pillar of the Indian economy and more than 50% of India's population are dependent on agriculture for their survival. Variations in weather, climate, and other such environmental conditions have become a major risk for the healthy existence of agriculture. Machine learning (ML) plays a significant role as it has decision support tool for Crop Yield Prediction (CYP) including supporting decisions on what crops to grow and what to do during the growing season of the crops. The present research deals with a systematic review that extracts and synthesize the features used for CYP and furthermore, there are a variety of methods that were developed to analyze crop yield prediction using artificial intelligence techniques. The major limitations of the Neural Network are reduction in the relative error and decreased prediction efficiency of Crop Yield. Similarly, supervised learning techniques were incapable to capture the nonlinear bond between input and output variables faced a problem during the selection of fruits grading or sorting. Many studies were recommended for agriculture development and the goal was to create an accurate and efficient model for crop classification such as crop yield estimation based on the weather, crop disease, classification of crops based on the growing phase etc., This paper explores various ML techniques utilized in the field of crop yield estimation and provided a detailed analysis in terms of accuracy using the techniques. © 2021 IEEE.","Agriculture; Artificial Neural Network; Convolution Neural Network; Crop yield prediction; Machine learning method","Agricultural robots; Control systems; Crops; Decision support systems; Forecasting; Grading; Intelligent computing; Learning systems; Predictive analytics; Supervised learning; Agriculture development; Artificial intelligence techniques; Crop classification; Decision support tools; Environmental conditions; Input and outputs; Relative errors; Systematic Review; Learning algorithms",Conference Paper,Scopus
"Terliksiz A.S., Altylar D.T.","Use of deep neural networks for crop yield prediction: A case study of soybean yield in lauderdale county, Alabama, USA",2019,"2019 8th International Conference on Agro-Geoinformatics, Agro-Geoinformatics 2019","10.1109/Agro-Geoinformatics.2019.8820257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072937932&doi=10.1109%2fAgro-Geoinformatics.2019.8820257&partnerID=40&md5=c69fae33211860282af5d044bd7b3c4e","World population is constantly increasing and it is necessary to have sufficient crop production. Monitoring crop growth and yield estimation are very important for the economic development of a nation. The prediction of crop yield has direct impact on national and international economies and play important role in the food management and food security. Deep learning gains importance on crop monitoring, crop type classification and crop yield estimation applications with the recent advances in image classification using deep Convolutional Neural Networks. Traditional crop yield prediction approaches based on remote sensing consist of classical Machine Learning methods such as Support Vector Machines and Decision Trees. Convolutional Neural Network CNN] and Long-Short Term Memory Network (LSTM] are deep neural network models that are proposed for crop yield prediction recently. This study focused on soybean yield prediction of Lauderdale County, Alabama, USA using 3D CNN model that leverages the spatiotemporal features. The yield is provided from USDA NASS Quick Stat tool for years 2003-2016. The satellite data used is collected from NASA's MODIS land products surface reflectance, land surface temperature and land surface temperature via Google Earth Engine. The root mean squared error (RMSE] is used as the evaluation metric in order to be able to compare the results with other methods that generally uses RMSE as the evaluation metric. © 2019 IEEE.","Convolutional neural networks; Crop yield prediction; Deep neural networks","3D modeling; Atmospheric temperature; Convolution; Crops; Cultivation; Decision trees; Food supply; Forecasting; Land surface temperature; Learning algorithms; Long short-term memory; Mean square error; NASA; Remote sensing; Support vector machines; Surface measurement; Surface properties; Convolutional neural network; Crop growth and yields; Crop type classification; Crop yield; International economy; Machine learning methods; Root mean squared errors; Spatio temporal features; Deep neural networks",Conference Paper,Scopus
