Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Manjula A., Narsimha G.","XCYPF: A flexible and extensible framework for agricultural Crop Yield Prediction",2015,"Proceedings of 2015 IEEE 9th International Conference on Intelligent Systems and Control, ISCO 2015","10.1109/ISCO.2015.7282311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959128680&doi=10.1109%2fISCO.2015.7282311&partnerID=40&md5=7e082c0f1e4af1c73708258a7efb3701","Precision agriculture is the technology driven approach for optimizing farm management in terms of inputs and outputs besides preserving resources. Towards this end many techniques came into existence. Data mining techniques are can be used towards precision agriculture. Numerous efforts have been made to exploit remote sensing data to build various indices for assessing productivity of crops. They include Temperature Condition Index (TCI), Vegetation Condition Index (VCI) and Normalized Difference Vegetation Index (NDVI). Crop yield prediction can help agriculture related departments and organizations to make strategic decisions. In this paper a novel framework named eXtensible Crop Yield Prediction Framework (XCYPF) is proposed that is flexible and extensible. It has provision for selection of crop, dependent and independent variables, datasets for crop yield prediction towards precision agriculture. The available indices are used along with rainfall data and surface temperature for crop yield prediction for rice and sugarcane crops. © 2015 IEEE.","Crop yield prediction; Data mining techniques; Precision agriculture; Spatial Data Mining","Atmospheric temperature; Crops; Data mining; Forecasting; Intelligent systems; Remote sensing; Vegetation; Crop yield; Extensible framework; Independent variables; Normalized difference vegetation index; Precision Agriculture; Spatial data mining; Temperature conditions; Vegetation condition indices; Agriculture",Conference Paper,Scopus
"Manimekalai S., Nandhini K.","Crop yield prediction from soil parameters through Neupper rule established algorithm",2018,"International Journal of Engineering and Technology(UAE)",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067270821&partnerID=40&md5=8adc4e91121cc65ca4056d8cb753067a","Agriculture is considered as the backbone of the Indian economy. Soil classification is used to maintain and enhance its productivity, to avoid soil degradation and to overcome environmental damage. Repeated Incremental Pruning to Produce Error Reduction (Ripper) was used for crop yield prediction. Though the computational cost of this method is very much decreased, the accuracy is not much increased for prediction of crop yield. Artificial Neural Network (ANN) was widely used technique for yield prediction of crop. But with a large number of hidden layers and nodes, the training time will increase and leads to over fitting of networks. Sometimes, it comes out with hardly interpretation results. Counter Propagation ANN (CP-ANN) was a technique which combining features of both supervised and unsupervised learning technique which effectively predicted the crop yield. However, the prediction accuracy of this method is still poor. In order to overcome the above problems and to improve the crop yield prediction accuracy, a Neupper rule based algorithm is proposed in this paper. The proposed algorithm combines ANN and Ripper classifier algorithms. The soil parameters such as phosphorus (P), potassium (K), sulphur (S), calcium (C), magnesium (Mg), zinc (Zn), copper (Cu), iron (Fe) and manganese (Mn) are given as input to ANN which returns weight of each soil parameter. Then, a decision tree is constructed based on weight values. After this, rules are generated based on the building and optimization stage of Ripper algorithm. The proposed Neupper rule based algorithm improves the accuracy of crop yield prediction by combining ANN and Ripper. Finally, the experiments are carried out in terms of accuracy, precision and Root Mean Square Error (RMSE) to prove the effectiveness of the proposed crop yield prediction method. © 2018 Authors.","Agriculture; Classification; Crop yield prediction; Feature selection",,Article,Scopus
"Gandge Y., Sandhya","A study on various data mining techniques for crop yield prediction",2018,"International Conference on Electrical, Electronics, Communication Computer Technologies and Optimization Techniques, ICEECCOT 2017","10.1109/ICEECCOT.2017.8284541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046548291&doi=10.1109%2fICEECCOT.2017.8284541&partnerID=40&md5=0b4068afb4536c83fd4a913bb60a6b16","India is a country where agriculture and agriculture related industries are the major source of living for the people. Agriculture is a major source of economy of the country. It is also one of the country which suffer from major natural calamities like drought or flood which damages the crop. This leads to huge financial loss for the farmers thus leading to the suicide. Predicting the crop yield well in advance prior to its harvest can help the farmers and Government organizations to make appropriate planning like storing, selling, fixing minimum support price, importing/exporting etc. Predicting a crop well in advance requires a systematic study of huge data coming from various variables like soil quality, pH, EC, N, P, K etc. As Prediction of crop deals with large set of database thus making this prediction system a perfect candidate for application of data mining. Through data mining we extract the knowledge from the huge size of data. This paper presents the study about the various data mining techniques used for predicting the crop yield. The success of any crop yield prediction system heavily relies on how accurately the features have been extracted and how appropriately classifiers have been employed. This paper summarizes the results obtained by various algorithms which are being used by various authors for crop yield prediction, with their accuracy and recommendation. © 2017 IEEE.","accuracy and Recommendation; crop yield prediction; data mining; data mining algorithm; models","Crops; Forecasting; Losses; Models; accuracy and Recommendation; Agriculture-related; Crop yield; Data mining algorithm; Government organizations; Minimum support; Prediction systems; Systematic study; Data mining",Conference Paper,Scopus
"Ananthara M.G., Arunkumar T., Hemavathy R.","CRY-An improved crop yield prediction model using bee hive clustering approach for agricultural data sets",2013,"Proceedings of the 2013 International Conference on Pattern Recognition, Informatics and Mobile Engineering, PRIME 2013","10.1109/ICPRIME.2013.6496717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876751206&doi=10.1109%2fICPRIME.2013.6496717&partnerID=40&md5=dcf2607357b28f0731793bce1eb56e9a","Agricultural researchers over the world insist on the need for an efficient mechanism to predict and improve the crop growth. The need for an integrated crop growth control with accurate predictive yield management methodology is highly felt among farming community. The complexity of predicting the crop yield is highly due to multi dimensional variable metrics and unavailability of predictive modeling approach, which leads to loss in crop yield. This research paper suggests a crop yield prediction model (CRY) which works on an adaptive cluster approach over dynamically updated historical crop data set to predict the crop yield and improve the decision making in precision agriculture. CRY uses bee hive modeling approach to analyze and classify the crop based on crop growth pattern, yield. CRY classified dataset had been tested using Clementine over existing crop domain knowledge. The results and performance shows comparison of CRY over with other cluster approaches. © 2013 IEEE.","Bee Hive clustering algorithm; Crop Growth; Crop yield prediction; Precision Agriculture","Agricultural Data sets; Clustering approach; Crop growth; Crop yield; Farming communities; Multi dimensional; Precision Agriculture; Predictive modeling; Clustering algorithms; Forecasting; Information science; Mathematical models; Pattern recognition; Crops",Conference Paper,Scopus
"Gandhi N., Armstrong L.J., Petkar O.","Proposed decision support system (DSS) for Indian rice crop yield prediction",2016,"Proceedings - 2016 IEEE International Conference on Technological Innovations in ICT for Agriculture and Rural Development, TIAR 2016","10.1109/TIAR.2016.7801205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010694998&doi=10.1109%2fTIAR.2016.7801205&partnerID=40&md5=76ab6f26e51ffbf90fe23fb125d1d25e","Rice crop production provides more than 40% to overall crop production in India and is essential in ensuring food security. Its production is reliant on favorable climatic conditions. Improving the ability of farmers to predict crop productivity under different climatic scenarios, can assist farmers and other stakeholders in making important decisions in terms of agronomy and crop choice. This paper proposes a decision support system prototype for rice crop yield prediction for Maharashtra state, India. A Graphical User Interface (GUI) has been created in Java using NetBeans tool and Microsoft Office Access database for the ease of farmers and decision makers. The interface allows for the selection of the range of precipitation, minimum temperature, average temperature, maximum temperature and reference crop evapotranspiration and predicts the expected class of yield viz., low, moderate or high. The ranges of the parameters were calculated by using historic data from the study area. The classes for the yield were defined as low with 0.15 to 0.60 tonnes/hectare; moderate with 0.61 to 1.10 tonnes/hectare and high with 1.11 to 3.16 tonnes/hectare. The proposed prototype could be used for a bigger dataset and wider study area to predict the crop yield. This will provide a guide to the farmer to assist in decision making on potential crop yield for particular climatic scenario. © 2016 IEEE.","crop yield prediction; decision support systems; DSS; graphical user interface; prototype","Agriculture; Artificial intelligence; Crops; Cultivation; Decision making; Food supply; Forecasting; Graphical user interfaces; Regional planning; User interfaces; Climatic conditions; Crop yield; Decision support system (dss); Graphical user interfaces (GUI); Maximum temperature; Minimum temperatures; prototype; Reference crop evapotranspirations; Decision support systems",Conference Paper,Scopus
"Zhang S., Liu L.","The potential of the MERIS Terrestrial Chlorophyll Index for crop yield prediction",2014,"Remote Sensing Letters","10.1080/2150704X.2014.963734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907877623&doi=10.1080%2f2150704X.2014.963734&partnerID=40&md5=de8b69a3fa877a55654b076f049b92d7","Regional and global prediction of crop yield by remote sensing is of vital importance for food security in China. Vegetation indices (VIs) sensitive to leaf area index (LAI), such as Normalized Difference Vegetation Index (NDVI), have been widely used for crop yield prediction. However, chlorophyll content is the key component for crops to convert light energy to organics in the process of photosynthesis, and crop yield may be more accurately predicted by remote sensing models based on a spectral index sensitive to chlorophyll content, such as the medium resolution imaging spectrometer (MERIS) Terrestrial Chlorophyll Index (MTCI). In this study, we investigated the potential of MTCI for crop yield prediction. Firstly, the MTCI and the NDVI products in Henan Province, China, from 2003 to 2011 with a temporal resolution of half a month were calculated from the daily level-2 reduced resolution ENVISAT MERIS reflectance product (MER-RR-2P) using a Maximum Value Composite algorithm. Secondly, we established winter wheat prediction models based on MTCI and NDVI. Then, the accuracy of MTCI for winter wheat yield prediction was examined and compared to the NDVI through a leave-one-out cross-validation approach. The results show that (1) the correlation coefficient between yield and MTCI is significantly higher than that of models based on NDVI and the errors of models based on MTCI are lower than those of models based on NDVI except for milking stages. Moreover, the crop yield prediction model based on accumulated MTCI through the reviving stage to milking is most significantly correlated to crop yield with a coefficient of determination of 0.849 for MTCI; (2) the optimum phase for crop yield prediction based on MTCI is the heading stage, about 30 days earlier than that of NDVI (milking stage), which is another advantage of MTCI in crop yield prediction; and (3) the validation error of the crop yield model based on the accumulated MTCI is half of that based on the accumulated NDVI. The study indicates that MTCI is potentially a better VI for crop yield prediction compared to NDVI. © 2014 Taylor & Francis.",,"Chlorophyll; Crops; Food supply; Forecasting; Remote sensing; Statistical methods; Vegetation; Chlorophyll contents; Correlation coefficient; Leave-one-out cross validations; Medium resolution imaging spectrometers; Normalized difference vegetation index; Remote sensing models; Temporal resolution; Winter wheat yields; Predictive analytics; bioaccumulation; chlorophyll; crop yield; food security; MERIS; NDVI; numerical model; prediction; remote sensing; resolution; China; Henan",Article,Scopus
"Luo W., Jing W., Jia Z., Li J., Pan Y.","The effect of PET calculations in DRAINMOD on drainage and crop yields predictions in a subhumid vertisol soil district",2009,"Science in China, Series E: Technological Sciences","10.1007/s11431-009-0349-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75749087229&doi=10.1007%2fs11431-009-0349-0&partnerID=40&md5=3e708fdd21c7451fe9e3ccc16784db11","The field hydrology model-DRAINMOD has several options for evapotranspiration (ET) calculation. The choice of each calculation method may affect modeling results because ET is one of the most important hydrologic components in field hydrology. ET calculation method may also have significant impact on crop yield predictions. As variable ET estimation methods are available nowadays, this paper presents a study of different ET inputs on simulated crop yields and drainage volume based on weather and soil data from a subhumid climate zone in China. The study results show that the effect of ET estimate on drainage and crop yield prediction is affected by crop species and growing period; more accurate ET estimate is also critical in simulating the effect of controlled drainage on field hydrology and crop production. The results of this study indicate that the effort contributed to better ET estimate is very important in model applications. © 2009 Science in China Press and Springer Berlin Heidelberg.","Drainage; DRAINMOD; PET; Relative crop yield","Calculation methods; Controlled drainage; Crop production; Crop yield; DRAINMOD; Estimation methods; Field hydrology; Growing period; Hydrologic components; In-field; Model application; Modeling results; PET; Significant impacts; Soil data; Sub-humid; Sub-humid climate; Vertisols; Cultivation; Forecasting; Hydrology; Soils; Water supply; Crops",Article,Scopus
"Ines A.V.M., Hansen J.W., Robertson A.W.","Enhancing the utility of daily GCM rainfall for crop yield prediction",2011,"International Journal of Climatology","10.1002/joc.2223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054988347&doi=10.1002%2fjoc.2223&partnerID=40&md5=06e91c30691d6679daa073efff609ddd","Global climate models (GCMs) are promising for crop yield predictions because of their ability to simulate seasonal climate in advance of the growing season. However, their utility is limited by unrealistic time structure of daily rainfall and biases in rainfall frequency and intensity distributions. Crop growth is very sensitive to daily variations of rainfall; thus any mismatch in daily rainfall statistics could impact crop yield simulations. Here, we present an improved methodology to correct GCM rainfall biases and time structure mismatches for maize yield prediction in Katumani, Kenya. This includes GCM bias correction (BC), to correct over- or under-predictions of rainfall frequency and intensity, and nesting corrected GCM information with a stochastic weather generator, to generate daily rainfall realizations conditioned on a given monthly target. Bias-corrected daily GCM rainfall and generated rainfall realizations were used to evaluate crop response. Results showed that corrections of GCM rainfall frequency and intensity could improve crop yield prediction but yields remain under-predicted. This is strongly attributed to the time structure mismatch in daily GCM rainfall leading to excessively long dry spells. To address this, we tested several ways of improving daily structure of GCM rainfall. First, we tested calibrating thresholds in BC but were found not very effective for improving dry spell lengths. Second, we tested BC-stochastic disaggregation (BC-DisAg) and appeared to simulate more realistic dry spell lengths using bias-corrected GCM rainfall information (e.g., frequency, totals) as monthly targets. Using rainfall frequency alone to condition the weather generator removed biases in dry spell lengths, improved predicted yields, but under-predicted yield variability. Combining rainfall frequency and totals, however, not only produced more realistic yield variability but also corrected under-prediction of yields. We envisaged that the presented method would enhance the utility of daily GCM rainfall in crop yield prediction. © 2010 Royal Meteorological Society.","Bias correction; Crop models; GCM; Stochastic disaggregation; Weather generator","Bias correction; Crop models; GCM; Stochastic disaggregation; Weather generator; Climate models; Crops; Drought; Forecasting; Stochastic systems; Rain; climate modeling; computer simulation; correction; crop yield; global climate; maize; precipitation assessment; precipitation intensity; prediction; rainfall; stochasticity; Eastern Province [Kenya]; Katumani; Kenya; Zea mays",Article,Scopus
"Roebeling R.A., van Putten E., Genovese G., Rosema A.","Application of Meteosat derived meteorological information for crop yield predictions in Europe",2004,"International Journal of Remote Sensing","10.1080/01431160410001705024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10844248555&doi=10.1080%2f01431160410001705024&partnerID=40&md5=b9921ba64575fc06c613526762d8b45e","This paper presents the utilization of surface fluxes and relative evapotranspiration derived from satellites for crop yield prediction using a dedicated crop growth simulation algorithm, the Environmental Analysis and Remote Sensing (EARS) Crop Growth Simulation algorithm (EARS-CGS). The objective was to test the EARS-CGS algorithm independent of ground data for crop yield prediction at national level in Europe. The algorithm is based on existing crop yield models but has been modified to assimilate satellite derived global solar radiation and actual evaporation information. The algorithm simulates crop biomass. A statistical method is utilized to relate crop biomass to crop yield and to correct for regional differences in yields that are not the result of radiation or water limitation. Six years of Meteosat data were processed to predict winter wheat and spring barley yields for Spain and the UK. The predicted yields were compared to the national reported yields and to forecasts of the European Statistical Office (EUROSTAT) and the Monitoring Agriculture by Remote Sensing-Crop Growth Monitoring System (MARS-CGMS). To evaluate the timeliness of the predictions the reported yields were compared to yield predictions made at different stages of the growing season. The results presented in this paper demonstrate that crop yields predicted from meteorological satellites can be applied to provide timely and reliable crop yield forecasts. © 2004 Taylor & Francis Ltd.",,"Algorithms; Biomass; Computer simulation; Evapotranspiration; Remote sensing; Solar radiation; Statistical methods; Weather satellites; Crop growth simulation (CGS) algorithm; Crop yields; Environmental analysis and remote sensing (EARS) algorithms; Surface fluxes; Crops; algorithm; biomass; crop yield; Meteosat; remote sensing; satellite imagery; surface flux; Biomass; Farm Crops; Remote Sensing; Satellites; Statistical Methods; Sun Light; Transpiration; Weather; Eastern Hemisphere; Eurasia; Europe; World",Article,Scopus
"Gandhi N., Petkar O., Armstrong L.J.","Rice crop yield prediction using artificial neural networks",2016,"Proceedings - 2016 IEEE International Conference on Technological Innovations in ICT for Agriculture and Rural Development, TIAR 2016","10.1109/TIAR.2016.7801222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010686582&doi=10.1109%2fTIAR.2016.7801222&partnerID=40&md5=63adcbe138e0c0cb96355de0a5b44693","Rice crop production contributes to the food security of India, more than 40% to overall crop production. Its production is reliant on favorable climatic conditions. Variability from season to season is detrimental to the farmer's income and livelihoods. Improving the ability of farmers to predict crop productivity in under different climatic scenarios, can assist farmers and other stakeholders in making important decisions in terms of agronomy and crop choice. This study aimed to use neural networks to predict rice production yield and investigate the factors affecting the rice crop yield for various districts of Maharashtra state in India. Data were sourced from publicly available Indian Government's records for 27 districts of Maharashtra state, India. The parameters considered for the present study were precipitation, minimum temperature, average temperature, maximum temperature and reference crop evapotranspiration, area, production and yield for the Kharif season (June to November) for the years 1998 to 2002. The dataset was processed using WEKA tool. A Multilayer Perceptron Neural Network was developed. Cross validation method was used to validate the data. The results showed the accuracy of 97.5% with a sensitivity of 96.3 and specificity of 98.1. Further, mean absolute error, root mean squared error, relative absolute error and root relative squared error were calculated for the present study. The study dataset was also executed using Knowledge Flow of the WEKA tool. The performance of the classifier is visually summarized using ROC curve. © 2016 IEEE.","ANN; artificial neural network; crop analysis; crop yield prediction; WEKA","Crops; Cultivation; Errors; Food supply; Forecasting; Mean square error; Neural networks; Regional planning; Crop analysis; Crop yield; Cross-validation methods; Minimum temperatures; Multi-layer perceptron neural networks; Reference crop evapotranspirations; Root mean squared errors; WEKA; Agriculture",Conference Paper,Scopus
