Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Sharma A.K., Rajawat A.S.","Crop Yield Prediction using Hybrid Deep Learning Algorithm for Smart Agriculture",2022,"Proceedings of the 2nd International Conference on Artificial Intelligence and Smart Energy, ICAIS 2022","10.1109/ICAIS53314.2022.9743001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128231800&doi=10.1109%2fICAIS53314.2022.9743001&partnerID=40&md5=a992d3dedea8a077df60d638ff02e95f","Agriculture is a rapidly growing sector in India. Crop Yield Prediction, soil nutrient level, intelligent irrigation systems, crop monitoring, and other issues are the most pressing agricultural issues. In this research examines the Internet of Things-based smart agriculture system (IoT). This research is primarily concerned with increasing the efficiency of the existing Crop Yield Prediction and decreasing human participation to complete system automation. The Crop Yield Prediction monitors the Crop Yield level controlled manner. When the Crop Yield level increases, the sensor enables the camera to update the observable value and save it to the cloud. To applied our proposed approach on Crop Yield Prediction using Hybrid Deep Learning Algorithm for Smart Agriculture. © 2022 IEEE.","Crop Yield Prediction; Deep Learning; Hybrid Deep Learning component; Smart Agriculture","Crops; Deep learning; Internet of things; Learning algorithms; Crop monitoring; Crop yield; Crop yield prediction; Deep learning; Hybrid deep learning component; Intelligent irrigation systems; Pressung; Smart agricultures; Soil nutrient levels; Yield prediction; Forecasting",Conference Paper,Scopus
"Muruganantham P., Wibowo S., Grandhi S., Samrat N.H., Islam N.","A Systematic Literature Review on Crop Yield Prediction with Deep Learning and Remote Sensing",2022,"Remote Sensing","10.3390/rs14091990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129213568&doi=10.3390%2frs14091990&partnerID=40&md5=067efc2aca9f66fd27cc978829e79990","Deep learning has emerged as a potential tool for crop yield prediction, allowing the model to automatically extract features and learn from the datasets. Meanwhile, smart farming technology enables the farmers to achieve maximum crop yield by extracting essential parameters of crop growth. This systematic literature review highlights the existing research gaps in a particular area of deep learning methodologies and guides us in analyzing the impact of vegetation indices and environmental factors on crop yield. To achieve the aims of this study, prior studies from 2012 to 2022 from various databases are collected and analyzed. The study focuses on the advantages of using deep learning in crop yield prediction, the suitable remote sensing technology based on the data acquisition requirements, and the various features that influence crop yield prediction. This study finds that Long Short-Term Memory (LSTM) and Convolutional Neural Networks (CNN) are the most widely used deep learning approaches for crop yield prediction. The commonly used remote sensing technology is satellite remote sensing technology—in particular, the use of the Moderate-Resolution Imaging Spectroradiometer (MODIS). Findings show that vegetation indices are the most used feature for crop yield prediction. However, it is also observed that the most used features in the literature do not always work for all the approaches. The main challenges of using deep learning approaches and remote sensing for crop yield prediction are how to improve the working model for better accuracy, the practical implication of the model for providing accurate information about crop yield to agriculturalists, growers, and policymakers, and the issue with the black box property. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","crop yield prediction; deep learning approaches; remote sensing techniques; systematic literature review","Crops; Data acquisition; Forecasting; Radiometers; Remote sensing; Vegetation; Crop yield; Crop yield prediction; Deep learning approach; Learning approach; Remote sensing techniques; Remote sensing technology; Remote-sensing; Systematic literature review; Vegetation index; Yield prediction; Long short-term memory",Review,Scopus
"Sunitha G., Pushpalatha M.N., Parkavi A., Boyapati P., Walia R., Kohar R., Qureshi K.","Modeling of Chaotic Political Optimizer for Crop Yield Prediction",2022,"Intelligent Automation and Soft Computing","10.32604/iasc.2022.024757","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129017065&doi=10.32604%2fiasc.2022.024757&partnerID=40&md5=478bada445a6aff92c5a2a9b927b0769","Crop yield is an extremely difficult trait identified using many factors like genotype, environment and their interaction. Accurate Crop Yield Prediction (CYP) necessitates the basic understanding of the functional relativity among yields and the collaborative factor. Disclosing such connection requires both wide-ranging datasets and an efficient model. The CYP is important to accomplish irrigation scheduling and assessing labor necessities for reaping and storing. Predicting yield using various kinds of irrigation is effective for optimizing resources, but CYP is a difficult process owing to the existence of distinct factors. Recently, Deep Learning (DL) approaches offer solutions to complicated data like weather parameters, maturity groups, genotype, etc. In this aspect, this paper presents an Automated Crop Yield Prediction utilizing Chaotic Political Optimizer with Deep Learning (ACYP-CPODL) model. The proposed ACYP-CPODL technique involves different processes namely pre-processing, prediction and parameter optimization. In addition, the hybrid Convolutional Neural Network (CNN) Long-Short Term Memory (LSTM) technique is designed for the prediction process. Moreover, the hyperparameter tuning of the CNN-LSTM approach is performed by the CPO algorithm. The proposed ACYP-CPODL technique has produced an effective result with an MSE of 0.031 and R2 Score of 0.936, whereas the BLSTM model has produced a near-optimal results. As a result, the proposed ACYP-CPODL method has proven to be an effective tool for predicting the crop yields. For validating the improved predictive performance of the ACYP-CPODL technique, a wide range of simulations take place on benchmark datasets and the comparative results highlighted the betterment of the ACYP-CPODL technique over the recent methods. © 2022, Tech Science Press. All rights reserved.","Automated Crop Yield Prediction utilizing Chaotic Political Optimizer with Deep Learning (ACYP-CPODL); Autoregressive Integrated Moving Average (ARIMA); CNN-LSTM model; Crop yield prediction; deep learning; machine learning; political optimizer",,Article,Scopus
"Renju R.S., Deepthi P.S., Chitra M.T.","A Review of Crop Yield Prediction Strategies based on Machine Learning and Deep Learning",2022,"Proceedings of International Conference on Computing, Communication, Security and Intelligent Systems, IC3SIS 2022","10.1109/IC3SIS54991.2022.9885325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139110906&doi=10.1109%2fIC3SIS54991.2022.9885325&partnerID=40&md5=2cfaca5433ef045e290784cbf26c070e","Crop yield prediction is critical for solving increasing food security concerns, especially in the current climate change situation. Accurate forecasts will aid farmers in making financial and managerial decisions, thereby preventing food shortage. Machine learning (ML) techniques have proven an effective means for predicting the yield of crops, which greatly impact agricultural yield prediction where various Artificial Intelligence as well as deep learning techniques can be utilized. A detailed literature review has been performed in this work to analyze and explore various ML algorithms and to identify the features viz., weather, soil types and properties, fertilizers that highly influence the crop yield prediction. This study confirmed that the prediction accuracy depends mainly on the features considered for improving the crop yield prediction. © 2022 IEEE.","Crop yield prediction; deep learning; machine learning","Climate change; Deep learning; Food supply; Forecasting; Learning systems; 'current; Crop yield; Crop yield prediction; Deep learning; Financial decisions; Food security; Machine-learning; Managerial decision; On-machines; Yield prediction; Crops",Conference Paper,Scopus
"Vashisht S., Kumar P., Trivedi M.C.","Improvised Extreme Learning Machine for Crop Yield Prediction",2022,"Proceedings of 3rd International Conference on Intelligent Engineering and Management, ICIEM 2022","10.1109/ICIEM54221.2022.9853054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136966642&doi=10.1109%2fICIEM54221.2022.9853054&partnerID=40&md5=fb9fef2fe12e44302c46c7ee18342503","Machine learning is effectively involved in crop yield prediction as a decision support tool including which crops to grow in a specific region and how to increase their yield in the reaping and growing season of the crops. A number of deep learning techniques, neural network architectures and prediction models have been employed to assist crop yield prediction research. This study proposes extreme learning machine to predict crop yield, we performed data pre-processing using Kalman Filter Algorithm, certain features have been extracted using Linear Discriminant Analysis and crop prediction is done by using an improved version of Extreme Linear Machine. Yield of rice crop has been predicted based upon geography, season and area of cultivation. © 2022 IEEE.","crop yield prediction; deep learning techniques; Extreme learning machine; machine learning algorithms and artificial neural network","Crops; Cultivation; Data handling; Decision support systems; Deep learning; Discriminant analysis; Forecasting; Knowledge acquisition; Learning algorithms; Learning systems; Network architecture; Crop yield; Crop yield prediction; Deep learning technique; Extreme learning machine; Learning machines; Learning techniques; Machine learning algorithm and artificial neural network; Machine learning algorithms; Machine-learning; Yield prediction; Neural networks",Conference Paper,Scopus
"Deshmukh A.A., Srivatsa A., Ashwitha A., Monteiro A., Gajakosh C.","Crop Yield Prediction to Achieve Precision Agriculture using Machine Learning",2022,"2022 IEEE 2nd International Conference on Mobile Networks and Wireless Communications, ICMNWC 2022","10.1109/ICMNWC56175.2022.10031892","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148302675&doi=10.1109%2fICMNWC56175.2022.10031892&partnerID=40&md5=7b1e290a6e7309b177b886d34a0fa5e7","Crop yield prediction is one of the most demanding tasks in agriculture. It is crucial in making decisions at global, regional, and field levels. Numerous factors such as genotype, environment, and their interactions decide a mosaic trait such as crop yield prediction. Faultless yield prediction demands elementary understanding of the relationship between yield and the associated factors. Comprehensive datasets and powerful algorithms are required to reveal the connection between the associated factors. Machine learning is an indispensable tool for crop yield prediction, which helps in making decisions with regard to the type of crops to be grown during the season and what to be done during the growing season of crops. An accurate crop prediction model helps farmers in deciding the financial investment and forecast the returns on the investment. The proposed solution aims to create a heaped model consisting of linear models. In order to achieve the solution, data from the period of 1995-2010 were collected, coming from official varietal experiments carried out in India. The solution consists of a random forest regressor, decision tree regressor, KNN regressor and XGB regressor. For validation of the model, four forecast error metrics were used: i.e., mean absolute error (MAE), mean squared error (MSE), R2-SCORE and Accuracy. As a result of the conducted experiments, the models individually provided an accuracy ranging from 63% to 85% and the stacked model provided an accuracy of 94%. © 2022 IEEE.","agriculture; bagging; boosting; crop yield prediction; hybrid model; hybrid model; machine learning","Adaptive boosting; Decision trees; Errors; Forecasting; Machine learning; Mean square error; Precision agriculture; Bagging; Boosting; Crop yield; Crop yield prediction; Hybrid model; Machine-learning; Making decision; Precision Agriculture; Yield prediction; Crops",Conference Paper,Scopus
"Kaur A., Goyal P., Sharma K., Sharma L., Goyal N.","A Generalized Multimodal Deep Learning Model for Early Crop Yield Prediction",2022,"Proceedings - 2022 IEEE International Conference on Big Data, Big Data 2022","10.1109/BigData55660.2022.10020917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147932693&doi=10.1109%2fBigData55660.2022.10020917&partnerID=40&md5=e451f0d67c9b6db9436fa0ddc1740248","Early crop yield prediction is crucial in agriculture for making administrative plans to ensure food security, post harvest management and distribution of a crop. Remote sensing data captured using various satellites provide reliable phenological information for a crop through surface reflectance bands. Other important factors, affecting crop yield include meteorological and soil. The data which we have used for crop yield prediction is multimodal. It consists of spatiotemporal meteorological (numeric) and surface reflectance bands (satellite image), and temporally static soil (satellite image) data. We effectively utilize this multimodal data to develop the proposed multimodal deep learning model, CropYieldNet. The objective of the paper is to accurately predict crop yield using high resolution data obtained from recently launched satellites such as Landsat8 and Sentinel-2. We used contrastive learning in a supervised setting and data augmentation techniques to overcome the limited historical data available for training deep learning models.We introduce a depth-level selection module for effectively modelling the depth-variant information of soil data. We have also modified our model to perform in-season (early) crop yield prediction which is as accurate as end-season prediction. We evaluate our model for two crops, corn and soybean, on counties in US and districts in India using data from MODIS, Landsat8, and Sentinel-2 satellites. Our extensive experimentation show that our model outperforms competing models. Our experiments also show that CropYieldNet generalizes well when applied on different crops and geographies. © 2022 IEEE.","contrastive learning; crop yield prediction; data augmentation; Multimodal deep learning; satellite data","Deep learning; Food supply; Forecasting; Learning systems; Reflection; Remote sensing; Satellites; Soils; Contrastive learning; Crop yield; Crop yield prediction; Data augmentation; Learning models; Multi-modal; Multimodal deep learning; Satellite data; Surface reflectance; Yield prediction; Crops",Conference Paper,Scopus
"Bagheri S., Dinesh C., Cheung G., Eadie T.","Unsupervised Graph Spectral Feature Denoising for Crop Yield Prediction",2022,"European Signal Processing Conference",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141010950&partnerID=40&md5=2be27e3039ae678c4397d1801627bdea","Prediction of annual crop yields at a county granularity is important for national food production and price stability. In this paper, towards the goal of better crop yield prediction, leveraging recent graph signal processing (GSP) tools to exploit spatial correlation among neighboring counties, we denoise relevant features via graph spectral filtering that are inputs to a deep learning prediction model. Specifically, we first construct a combinatorial graph with edge weights that encode county-to-county similarities in soil and location features via metric learning. We then denoise features via a maximum a posteriori (MAP) formulation with a graph Laplacian regularizer (GLR). We focus on the challenge to estimate the crucial weight parameter µ, trading off the fidelity term and GLR, that is a function of noise variance in an unsupervised manner. We first estimate noise variance directly from noise-corrupted graph signals using a graph clique detection (GCD) procedure that discovers locally constant regions. We then compute an optimal µ minimizing an approximate mean square error function via bias-variance analysis. Experimental results from collected USDA data show that using denoised features as input, performance of a crop yield prediction model can be improved noticeably. © 2022 European Signal Processing Conference, EUSIPCO. All rights reserved.","bias-variance analysis; crop yield prediction; Graph spectral filtering; unsupervised learning","Crops; Deep learning; Forecasting; Signal processing; Spurious signal noise; Bias variance analysis; Crop yield; Crop yield prediction; De-Noise; Graph Laplacian; Graph spectral filtering; Laplacian regularizer; Noise variance; Spectral filtering; Yield prediction; Mean square error",Conference Paper,Scopus
"Oikonomidis A., Catal C., Kassahun A.","Deep learning for crop yield prediction: a systematic literature review",2023,"New Zealand Journal of Crop and Horticultural Science","10.1080/01140671.2022.2032213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124356072&doi=10.1080%2f01140671.2022.2032213&partnerID=40&md5=2ea59734e134e98ab6a154b134e68a6b","Deep Learning has been applied for the crop yield prediction problem, however, there is a lack of systematic analysis of the studies. Therefore, this study aims to provide an overview of the state-of-the-art application of Deep Learning in crop yield prediction. We performed a Systematic Literature Review (SLR) to identify and analyze the most relevant papers. We retrieved 456 relevant studies of which we selected 44 primary studies for further analysis after applying selection and quality assessment criteria to the relevant studies. A thorough analysis and synthesis of the primary studies were performed with respect to the key motivations, the target crops, the algorithms applied, the features used, and the data sources used. We observed that Convolutional Neural Network (CNN) is the most common algorithm and it has the best performance in terms of Root Mean Square Error (RMSE). One of the most important challenges is the lack of a large training dataset and thus, the risk of overfitting and as a result, lower model performance in practice. For researchers in this field, it is valuable to indicate the current challenges and the possibility for further research, because they tend to focus on the importance of missing research topics. © 2022 The Royal Society of New Zealand.","Crop yield prediction; deep learning; machine learning; precision agriculture; systematic literature review","algorithm; artificial neural network; crop yield; literature review; machine learning; precision agriculture; prediction",Review,Scopus
"Sivanantham V., Sangeetha V., Alnuaim A.A., Hatamleh W.A., Anilkumar C., Hatamleh A.A., Sweidan D.","Quantile correlative deep feedforward multilayer perceptron for crop yield prediction",2022,"Computers and Electrical Engineering","10.1016/j.compeleceng.2022.107696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123889462&doi=10.1016%2fj.compeleceng.2022.107696&partnerID=40&md5=19c0be9cce4776d0eaf89a81aea635f8","Crop yield prediction is an essential one in agriculture. Crop yield protection is the science and practice of handling plant diseases, weeds, and other pests. Accurate information regarding the crop yield history is essential for making decisions regarding agricultural risk management. Many research studies have been undertaken for identifying crop productivity using various data mining techniques. However, the prediction accuracy of crop yields was not improved with minimum time consumption. To overcome the issues, a novel Quantile Regressive Empirical correlative Functioned Deep FeedForward Multilayer Perceptron Classification (QRECF-DFFMPC) Method is proposed for crop yield prediction. QRECF-DFFMPC Method comprises three layers such as input and output layer with one or more hidden layers. The input layer of deep neural learning receives several features and data from the dataset and then sent it to the hidden layer 1. In that layer, Empirical Orthogonal Function is used to select the relevant features with the help of orthogonal basis functions. After that, Quantile regression is used in the hidden layer 2 to analyze the features and produce the regression value for every data point. Then, the regression value of data points is sent to the output layer for improving the prediction accuracy and reducing the time complexity. Experimental evaluation is carried out on factors such as prediction accuracy, precision, and prediction time for several data points and the number of features. The result shows that the proposed technique enhanced the prediction accuracy and precision by 6% and 9% and reduces the prediction time by 32%, as compared to existing works. © 2022","Crop yield prediction; Deep feedforward multi-layer perceptron; Empirical orthogonal function; Quantile regression; Sigmoid activation function","Crops; Data mining; Decision making; Deep neural networks; Forecasting; Multilayers; Orthogonal functions; Regression analysis; Risk management; Crop yield; Crop yield prediction; Deep feedforward multi-layer perceptron; Empirical Orthogonal Function; Feed forward; Multilayers perceptrons; Prediction accuracy; Quantile regression; Sigmoid activation function; Yield prediction; Multilayer neural networks",Article,Scopus
