Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Muruganantham P., Wibowo S., Grandhi S., Samrat N.H., Islam N.","A Systematic Literature Review on Crop Yield Prediction with Deep Learning and Remote Sensing",2022,"Remote Sensing","10.3390/rs14091990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129213568&doi=10.3390%2frs14091990&partnerID=40&md5=067efc2aca9f66fd27cc978829e79990","Deep learning has emerged as a potential tool for crop yield prediction, allowing the model to automatically extract features and learn from the datasets. Meanwhile, smart farming technology enables the farmers to achieve maximum crop yield by extracting essential parameters of crop growth. This systematic literature review highlights the existing research gaps in a particular area of deep learning methodologies and guides us in analyzing the impact of vegetation indices and environmental factors on crop yield. To achieve the aims of this study, prior studies from 2012 to 2022 from various databases are collected and analyzed. The study focuses on the advantages of using deep learning in crop yield prediction, the suitable remote sensing technology based on the data acquisition requirements, and the various features that influence crop yield prediction. This study finds that Long Short-Term Memory (LSTM) and Convolutional Neural Networks (CNN) are the most widely used deep learning approaches for crop yield prediction. The commonly used remote sensing technology is satellite remote sensing technology—in particular, the use of the Moderate-Resolution Imaging Spectroradiometer (MODIS). Findings show that vegetation indices are the most used feature for crop yield prediction. However, it is also observed that the most used features in the literature do not always work for all the approaches. The main challenges of using deep learning approaches and remote sensing for crop yield prediction are how to improve the working model for better accuracy, the practical implication of the model for providing accurate information about crop yield to agriculturalists, growers, and policymakers, and the issue with the black box property. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","crop yield prediction; deep learning approaches; remote sensing techniques; systematic literature review","Crops; Data acquisition; Forecasting; Radiometers; Remote sensing; Vegetation; Crop yield; Crop yield prediction; Deep learning approach; Learning approach; Remote sensing techniques; Remote sensing technology; Remote-sensing; Systematic literature review; Vegetation index; Yield prediction; Long short-term memory",Review,Scopus
"Khaki S., Wang L., Archontoulis S.V.","A CNN-RNN Framework for Crop Yield Prediction",2020,"Frontiers in Plant Science","10.3389/fpls.2019.01750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079196653&doi=10.3389%2ffpls.2019.01750&partnerID=40&md5=2c494bc9eb897d74d198a0100385d2ea","Crop yield prediction is extremely challenging due to its dependence on multiple factors such as crop genotype, environmental factors, management practices, and their interactions. This paper presents a deep learning framework using convolutional neural networks (CNNs) and recurrent neural networks (RNNs) for crop yield prediction based on environmental data and management practices. The proposed CNN-RNN model, along with other popular methods such as random forest (RF), deep fully connected neural networks (DFNN), and LASSO, was used to forecast corn and soybean yield across the entire Corn Belt (including 13 states) in the United States for years 2016, 2017, and 2018 using historical data. The new model achieved a root-mean-square-error (RMSE) 9% and 8% of their respective average yields, substantially outperforming all other methods that were tested. The CNN-RNN has three salient features that make it a potentially useful method for other crop yield prediction studies. (1) The CNN-RNN model was designed to capture the time dependencies of environmental factors and the genetic improvement of seeds over time without having their genotype information. (2) The model demonstrated the capability to generalize the yield prediction to untested environments without significant drop in the prediction accuracy. (3) Coupled with the backpropagation method, the model could reveal the extent to which weather conditions, accuracy of weather predictions, soil conditions, and management practices were able to explain the variation in the crop yields. © Copyright © 2020 Khaki, Wang and Archontoulis.","convolutional neural networks; crop yield prediction; deep learning; feature selection; recurrent neural networks",,Article,Scopus
"Engen M., Sandø E., Sjølander B.L.O., Arenberg S., Gupta R., Goodwin M.","Farm-scale crop yield prediction from multi-temporal data using deep hybrid neural networks",2021,"Agronomy","10.3390/agronomy11122576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121721691&doi=10.3390%2fagronomy11122576&partnerID=40&md5=ad63ea323f3a788d779ab35fc8bcac5c","Farm-scale crop yield prediction is a natural development of sustainable agriculture, pro-ducing a rich amount of food without depleting and polluting environmental resources. Recent studies on crop yield production are limited to regional-scale predictions. The regional-scale crop yield predictions usually face challenges in capturing local yield variations based on farm management decisions and the condition of the field. For this research, we identified the need to create a large and reusable farm-scale crop yield production dataset, which could provide precise farm-scale ground-truth prediction targets. Therefore, we utilise multi-temporal data, such as Sentinel-2 satellite images, weather data, farm data, grain delivery data, and cadastre-specific data. We introduce a deep hybrid neural network model to train this multi-temporal data. This model combines the features of convolutional layers and recurrent neural networks to predict farm-scale crop yield production across Norway. The proposed model could efficiently make the target predictions with the mean absolute error of 76 kg per 1000 m2. In conclusion, the reusable farm-scale multi-temporal crop yield dataset and the proposed novel model could meet the actual requirements for the prediction targets in this paper, providing further valuable insights for the research community. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Convolutional neural network; Deep learning; Farm-scale crop yield prediction; Hybrid neural network; Recurrent neural network; Sentinel-2 satellite remote sensing data",,Article,Scopus
"Qiao M., He X., Cheng X., Li P., Luo H., Zhang L., Tian Z.","Crop yield prediction from multi-spectral, multi-temporal remotely sensed imagery using recurrent 3D convolutional neural networks",2021,"International Journal of Applied Earth Observation and Geoinformation","10.1016/j.jag.2021.102436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118581090&doi=10.1016%2fj.jag.2021.102436&partnerID=40&md5=9dd4e8bc3a3f84ae11bf1d4815462a7e","Crop yield prediction has played a vital role in maintaining food security and has been extensively investigated in recent decades. Most research has focused on excavating fixed spectral information from remote sensing images. However, the growth of crops is a highly complex trait determined by diverse features. To maximally explore these heterogeneous features, we aim to simultaneously exploit spatial, spectral, and temporal information from multi-spectral and multi-temporal remotely sensed imagery. Therefore, in this paper, we propose a novel deep learning architecture for crop yield prediction, namely, SSTNN (Spatial-Spectral-Temporal Neural Network), which combines 3D convolutional and recurrent neural networks to exploit their complementarity. Specifically, the SSTNN incorporates a spatial-spectral learning module and a temporal dependency capturing module into a unified convolutional network to recognize the joint spatial-spectral-temporal representation. The novel spatial-spectral feature learning module first exploits sufficient spatial-spectral features from the multi-spectral images. Then, the temporal dependency capturing module is concatenated on top of the spatial-spectral feature learning module to mine the temporal relationship from the long time-series images. Furthermore, we introduce a new loss function that eliminates the influence of an imbalanced distribution of crop yield labels. Finally, the proposed SSTNN is validated on winter wheat and corn yield predictions from China. The results are compared with widely used machine learning methods as well as state-of-art deep learning methods. The experimental results demonstrate that the proposed method can provide better prediction performance than the competitive methods. © 2021","3D convolutional neural network; Crop yield prediction; Long short-term memory; Multi-temporal images","artificial neural network; crop yield; image processing; imagery; maize; remote sensing; China",Article,Scopus
"Elavarasan D., Durairaj Vincent P.M.","Crop Yield Prediction Using Deep Reinforcement Learning Model for Sustainable Agrarian Applications",2020,"IEEE Access","10.1109/ACCESS.2020.2992480","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085182944&doi=10.1109%2fACCESS.2020.2992480&partnerID=40&md5=4df12de8ec0dec1b36a49ee4fba1959f","Predicting crop yield based on the environmental, soil, water and crop parameters has been a potential research topic. Deep-learning-based models are broadly used to extract significant crop features for prediction. Though these methods could resolve the yield prediction problem there exist the following inadequacies: Unable to create a direct non-linear or linear mapping between the raw data and crop yield values; and the performance of those models highly relies on the quality of the extracted features. Deep reinforcement learning provides direction and motivation for the aforementioned shortcomings. Combining the intelligence of reinforcement learning and deep learning, deep reinforcement learning builds a complete crop yield prediction framework that can map the raw data to the crop prediction values. The proposed work constructs a Deep Recurrent Q-Network model which is a Recurrent Neural Network deep learning algorithm over the Q-Learning reinforcement learning algorithm to forecast the crop yield. The sequentially stacked layers of Recurrent Neural network is fed by the data parameters. The Q-learning network constructs a crop yield prediction environment based on the input parameters. A linear layer maps the Recurrent Neural Network output values to the Q-values. The reinforcement learning agent incorporates a combination of parametric features with the threshold that assist in predicting crop yield. Finally, the agent receives an aggregate score for the actions performed by minimizing the error and maximizing the forecast accuracy. The proposed model efficiently predicts the crop yield outperforming existing models by preserving the original data distribution with an accuracy of 93.7%. © 2013 IEEE.","Crop yield prediction; deep recurrent Q-network; deep reinforcement learning; intelligent agrarian application","Crops; Forecasting; Learning algorithms; Learning systems; Multilayer neural networks; Recurrent neural networks; Data distribution; Forecast accuracy; Learning Based Models; Network modeling; Potential researches; Reinforcement learning agent; Reinforcement learning models; Yield prediction; Reinforcement learning",Article,Scopus
"Pham H.T., Awange J., Kuhn M., Van Nguyen B., Bui L.K.","Enhancing Crop Yield Prediction Utilizing Machine Learning on Satellite-Based Vegetation Health Indices",2022,"Sensors","10.3390/s22030719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122875584&doi=10.3390%2fs22030719&partnerID=40&md5=99f9a5861a129ffa6d4e62ce689d4522","Accurate crop yield forecasting is essential in the food industry’s decision-making process, where vegetation condition index (VCI) and thermal condition index (TCI) coupled with machine learning (ML) algorithms play crucial roles. The drawback, however, is that a one-fits-all prediction model is often employed over an entire region without considering subregional VCI and TCI’s spatial variability resulting from environmental and climatic factors. Furthermore, when using nonlinear ML, redundant VCI/TCI data present additional challenges that adversely affect the models’ output. This study proposes a framework that (i) employs higher-order spatial independent component analysis (sICA), and (ii), exploits a combination of the principal component analysis (PCA) and ML (i.e., PCA-ML combination) to deal with the two challenges in order to enhance crop yield prediction accuracy. The proposed framework consolidates common VCI/TCI spatial variability into their respective subregions, using Vietnam as an example. Compared to the one-fits-all approach, subregional rice yield forecasting models over Vietnam improved by an average level of 20% up to 60%. PCA-ML combination outper-formed ML-only by an average of 18.5% up to 45%. The framework generates rice yield predictions 1 to 2 months ahead of the harvest with an average of 5% error, displaying its reliability. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Crop yield prediction; Independent component analysis (ICA); Machine learning; Principle component analysis (PCA); Thermal condition index (TCI); Vegetation condition index (VCI)","Crops; Decision making; Forecasting; Independent component analysis; Principal component analysis; Vegetation; Condition index; Crop yield; Crop yield prediction; Independent component analyse; Independent components analysis; Principle component analyse; Principle components analysis; Thermal condition; Thermal condition index; Vegetation condition index; Vegetation condition indices; Yield prediction; Machine learning; algorithm; machine learning; Oryza; reproducibility; Algorithms; Machine Learning; Oryza; Reproducibility of Results",Article,Scopus
"Hara P., Piekutowska M., Niedbała G.","Selection of independent variables for crop yield prediction using artificial neural network models with remote sensing data",2021,"Land","10.3390/land10060609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108226871&doi=10.3390%2fland10060609&partnerID=40&md5=6d004fc8bd09e94ecb551998562cd69c","Knowing the expected crop yield in the current growing season provides valuable information for farmers, policy makers, and food processing plants. One of the main benefits of using reliable forecasting tools is generating more income from grown crops. Information on the amount of crop yielding before harvesting helps to guide the adoption of an appropriate strategy for managing agricultural products. The difficulty in creating forecasting models is related to the appropriate selection of independent variables. Their proper selection requires a perfect knowledge of the research object. The following article presents and discusses the most commonly used independent variables in agricultural crop yield prediction modeling based on artificial neural networks (ANNs). Particular attention is paid to environmental variables, such as climatic data, air temperature, total precipitation, insolation, and soil parameters. The possibility of using plant productivity indices and vegetation indices, which are valuable predictors obtained due to the application of remote sensing techniques, are analyzed in detail. The paper emphasizes that the increasingly common use of remote sensing and photogrammetric tools enables the development of precision agriculture. In addition, some limitations in the application of certain input variables are specified, as well as further possibilities for the development of non-linear modeling, using artificial neural networks as a tool supporting the practical use of and improvement in precision farming techniques. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","ANN; Crop yield prediction; Independent variables; Remote sensing",,Article,Scopus
"Chen Y., Mcvicar T.R., Donohue R.J., Garg N., Waldner F., Ota N., Li L., Lawes R.","To blend or not to blend? A framework for nationwide landsat-MODIS data selection for crop yield prediction",2020,"Remote Sensing","10.3390/rs12101653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085548939&doi=10.3390%2frs12101653&partnerID=40&md5=c569db18e84611341cfec03d321315a5","The onus for monitoring crop growth from space is its ability to be applied anytime and anywhere, to produce crop yield estimates that are consistent at both the subfield scale for farming management strategies and the country level for national crop yield assessment. Historically, the requirements for satellites to successfully monitor crop growth and yield differed depending on the extent of the area being monitored. Diverging imaging capabilities can be reconciled by blending images from high-temporal-frequency (HTF) and high-spatial-resolution (HSR) sensors to produce images that possess both HTF and HSR characteristics across large areas. We evaluated the relative performance of Moderate Resolution Imaging Spectroradiometer (MODIS), Landsat, and blended imagery for crop yield estimates (2009-2015) using a carbon-turnover yield model deployed across the Australian cropping area. Based on the fraction of missing Landsat observations, we further developed a parsimonious framework to inform when and where blending is beneficial for nationwide crop yield prediction at a finer scale (i.e., the 25-m pixel resolution). Landsat provided the best yield predictions when no observations were missing, which occurred in 17% of the cropping area of Australia. Blending was preferred when <42% of Landsat observations were missing, which occurred in 33% of the cropping area of Australia. MODIS produced a lower prediction error when ≥42% of the Landsat images were missing (~50% of the cropping area). By identifying when and where blending outperforms predictions from either Landsat or MODIS, the proposed framework enables more accurate monitoring of biophysical processes and yields, while keeping computational costs low. © 2020 by the authors.","Crop yield prediction; Data blending; Gap-filling; Landsat; MODIS","Crops; Forecasting; Radiometers; Biophysical process; Computational costs; Crop growth and yields; High spatial resolution; High temporal frequency; Imaging capabilities; Moderate resolution imaging spectroradiometer; Relative performance; Image processing",Article,Scopus
"Rashid M., Bari B.S., Yusup Y., Kamaruddin M.A., Khan N.","A Comprehensive Review of Crop Yield Prediction Using Machine Learning Approaches with Special Emphasis on Palm Oil Yield Prediction",2021,"IEEE Access","10.1109/ACCESS.2021.3075159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104590296&doi=10.1109%2fACCESS.2021.3075159&partnerID=40&md5=622411833cf31eba7b6227bd805e58ff","An early and reliable estimation of crop yield is essential in quantitative and financial evaluation at the field level for determining strategic plans in agricultural commodities for import-export policies and doubling farmer's incomes. Crop yield predictions are carried out to estimate higher crop yield through the use of machine learning algorithms which are one of the challenging issues in the agricultural sector. Due to this developing significance of crop yield prediction, this article provides an exhaustive review on the use of machine learning algorithms to predict crop yield with special emphasis on palm oil yield prediction. Initially, the current status of palm oil yield around the world is presented, along with a brief discussion on the overview of widely used features and prediction algorithms. Then, the critical evaluation of the state-of-the-art machine learning-based crop yield prediction, machine learning application in the palm oil industry and comparative analysis of related studies are presented. Consequently, a detailed study of the advantages and difficulties related to machine learning-based crop yield prediction and proper identification of current and future challenges to the agricultural industry is presented. The potential solutions are additionally prescribed in order to alleviate existing problems in crop yield prediction. Since one of the major objectives of this study is to explore the future perspectives of machine learning-based palm oil yield prediction, the areas including application of remote sensing, plant's growth and disease recognition, mapping and tree counting, optimum features and algorithms have been broadly discussed. Finally, a prospective architecture of machine learning-based palm oil yield prediction has been proposed based on the critical evaluation of existing related studies. This technology will fulfill its promise by performing new research challenges in the analysis of crop yield prediction and the development of an extremely effective model for the prediction of palm oil yields with the most minimal computational difficulty. © 2013 IEEE.",,"Agricultural robots; Computer aided instruction; Crops; Forecasting; Machine learning; Palm oil; Petroleum industry; Predictive analytics; Remote sensing; Agricultural commodities; Agricultural industries; Comparative analysis; Financial evaluation; Machine learning applications; Machine learning approaches; Oil yield prediction; Prediction algorithms; Learning algorithms",Review,Scopus
"Joshua S.V., Priyadharson A.S.M., Kannadasan R., Khan A.A., Lawanont W., Khan F.A., Rehman A.U., Ali M.J.","Crop Yield Prediction Using Machine Learning Approaches on a Wide Spectrum",2022,"Computers, Materials and Continua","10.32604/cmc.2022.027178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128670757&doi=10.32604%2fcmc.2022.027178&partnerID=40&md5=82f796faa705ad2af7562d8ce49991b4","The exponential growth of population in developing countries like India should focus on innovative technologies in the Agricultural process to meet the future crisis. One of the vital tasks is the crop yield prediction at its early stage; because it forms one of the most challenging tasks in precision agriculture as it demands a deep understanding of the growth pattern with the highly nonlinear parameters. Environmental parameters like rainfall, temperature, humidity, and management practices like fertilizers, pesticides, irrigation are very dynamic in approach and vary from field to field. In the proposed work, the data were collected from paddy fields of 28 districts in wide spectrum of Tamilnadu over a period of 18 years. The Statistical model Multi Linear Regression was used as a benchmark for crop yield prediction, which yielded an accuracy of 82% owing to its wide ranging input data. Therefore, machine learning models are developed to obtain improved accuracy, namely Back Propagation Neural Network (BPNN), Support Vector Machine, and General Regression Neural Networks with the given data set. Results show that GRNN has greater accuracy of 97% (R2= 0.97) with a normalized mean square error (NMSE) of 0.03. Hence GRNN can be used for crop yield prediction in diversified geographical fields. © 2022 Tech Science Press. All rights reserved.","computer simulation and modelling; crop yield; Machine learning; prediction","Backpropagation; Crops; Developing countries; Mean square error; Neural networks; Population statistics; Support vector machines; Agricultural process; Crop yield; Exponential growth; Growth patterns; Innovative technology; Machine learning approaches; Precision Agriculture; Simulation and modeling; Wide spectrum; Yield prediction; Forecasting",Article,Scopus
