Authors,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source
"Sunitha G., Pushpalatha M.N., Parkavi A., Boyapati P., Walia R., Kohar R., Qureshi K.","Modeling of Chaotic Political Optimizer for Crop Yield Prediction",2022,"Intelligent Automation and Soft Computing","10.32604/iasc.2022.024757","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129017065&doi=10.32604%2fiasc.2022.024757&partnerID=40&md5=478bada445a6aff92c5a2a9b927b0769","Crop yield is an extremely difficult trait identified using many factors like genotype, environment and their interaction. Accurate Crop Yield Prediction (CYP) necessitates the basic understanding of the functional relativity among yields and the collaborative factor. Disclosing such connection requires both wide-ranging datasets and an efficient model. The CYP is important to accomplish irrigation scheduling and assessing labor necessities for reaping and storing. Predicting yield using various kinds of irrigation is effective for optimizing resources, but CYP is a difficult process owing to the existence of distinct factors. Recently, Deep Learning (DL) approaches offer solutions to complicated data like weather parameters, maturity groups, genotype, etc. In this aspect, this paper presents an Automated Crop Yield Prediction utilizing Chaotic Political Optimizer with Deep Learning (ACYP-CPODL) model. The proposed ACYP-CPODL technique involves different processes namely pre-processing, prediction and parameter optimization. In addition, the hybrid Convolutional Neural Network (CNN) Long-Short Term Memory (LSTM) technique is designed for the prediction process. Moreover, the hyperparameter tuning of the CNN-LSTM approach is performed by the CPO algorithm. The proposed ACYP-CPODL technique has produced an effective result with an MSE of 0.031 and R2 Score of 0.936, whereas the BLSTM model has produced a near-optimal results. As a result, the proposed ACYP-CPODL method has proven to be an effective tool for predicting the crop yields. For validating the improved predictive performance of the ACYP-CPODL technique, a wide range of simulations take place on benchmark datasets and the comparative results highlighted the betterment of the ACYP-CPODL technique over the recent methods. © 2022, Tech Science Press. All rights reserved.","Automated Crop Yield Prediction utilizing Chaotic Political Optimizer with Deep Learning (ACYP-CPODL); Autoregressive Integrated Moving Average (ARIMA); CNN-LSTM model; Crop yield prediction; deep learning; machine learning; political optimizer",,Article,Scopus
"van Klompenburg T., Kassahun A., Catal C.","Crop yield prediction using machine learning: A systematic literature review",2020,"Computers and Electronics in Agriculture","10.1016/j.compag.2020.105709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089952995&doi=10.1016%2fj.compag.2020.105709&partnerID=40&md5=63cf703d02e2d03004dd0ee46cef8448","Machine learning is an important decision support tool for crop yield prediction, including supporting decisions on what crops to grow and what to do during the growing season of the crops. Several machine learning algorithms have been applied to support crop yield prediction research. In this study, we performed a Systematic Literature Review (SLR) to extract and synthesize the algorithms and features that have been used in crop yield prediction studies. Based on our search criteria, we retrieved 567 relevant studies from six electronic databases, of which we have selected 50 studies for further analysis using inclusion and exclusion criteria. We investigated these selected studies carefully, analyzed the methods and features used, and provided suggestions for further research. According to our analysis, the most used features are temperature, rainfall, and soil type, and the most applied algorithm is Artificial Neural Networks in these models. After this observation based on the analysis of machine learning-based 50 papers, we performed an additional search in electronic databases to identify deep learning-based studies, reached 30 deep learning-based papers, and extracted the applied deep learning algorithms. According to this additional analysis, Convolutional Neural Networks (CNN) is the most widely used deep learning algorithm in these studies, and the other widely used deep learning algorithms are Long-Short Term Memory (LSTM) and Deep Neural Networks (DNN). © 2020 Elsevier B.V.","Crop yield prediction; Decision support system; Deep learning; Machine learning; Systematic literature review","Convolutional neural networks; Crops; Decision support systems; Deep learning; Deep neural networks; Forecasting; Learning systems; Long short-term memory; Predictive analytics; Decision support tools; Electronic database; Growing season; Inclusion and exclusions; Search criterion; Soil types; Systematic literature review; Systematic literature review (SLR); Learning algorithms; artificial neural network; crop yield; decision support system; growing season; literature review; machine learning; prediction",Review,Scopus
"Khaki S., Wang L., Archontoulis S.V.","A CNN-RNN Framework for Crop Yield Prediction",2020,"Frontiers in Plant Science","10.3389/fpls.2019.01750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079196653&doi=10.3389%2ffpls.2019.01750&partnerID=40&md5=2c494bc9eb897d74d198a0100385d2ea","Crop yield prediction is extremely challenging due to its dependence on multiple factors such as crop genotype, environmental factors, management practices, and their interactions. This paper presents a deep learning framework using convolutional neural networks (CNNs) and recurrent neural networks (RNNs) for crop yield prediction based on environmental data and management practices. The proposed CNN-RNN model, along with other popular methods such as random forest (RF), deep fully connected neural networks (DFNN), and LASSO, was used to forecast corn and soybean yield across the entire Corn Belt (including 13 states) in the United States for years 2016, 2017, and 2018 using historical data. The new model achieved a root-mean-square-error (RMSE) 9% and 8% of their respective average yields, substantially outperforming all other methods that were tested. The CNN-RNN has three salient features that make it a potentially useful method for other crop yield prediction studies. (1) The CNN-RNN model was designed to capture the time dependencies of environmental factors and the genetic improvement of seeds over time without having their genotype information. (2) The model demonstrated the capability to generalize the yield prediction to untested environments without significant drop in the prediction accuracy. (3) Coupled with the backpropagation method, the model could reveal the extent to which weather conditions, accuracy of weather predictions, soil conditions, and management practices were able to explain the variation in the crop yields. © Copyright © 2020 Khaki, Wang and Archontoulis.","convolutional neural networks; crop yield prediction; deep learning; feature selection; recurrent neural networks",,Article,Scopus
"Oikonomidis A., Catal C., Kassahun A.","Deep learning for crop yield prediction: a systematic literature review",2023,"New Zealand Journal of Crop and Horticultural Science","10.1080/01140671.2022.2032213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124356072&doi=10.1080%2f01140671.2022.2032213&partnerID=40&md5=2ea59734e134e98ab6a154b134e68a6b","Deep Learning has been applied for the crop yield prediction problem, however, there is a lack of systematic analysis of the studies. Therefore, this study aims to provide an overview of the state-of-the-art application of Deep Learning in crop yield prediction. We performed a Systematic Literature Review (SLR) to identify and analyze the most relevant papers. We retrieved 456 relevant studies of which we selected 44 primary studies for further analysis after applying selection and quality assessment criteria to the relevant studies. A thorough analysis and synthesis of the primary studies were performed with respect to the key motivations, the target crops, the algorithms applied, the features used, and the data sources used. We observed that Convolutional Neural Network (CNN) is the most common algorithm and it has the best performance in terms of Root Mean Square Error (RMSE). One of the most important challenges is the lack of a large training dataset and thus, the risk of overfitting and as a result, lower model performance in practice. For researchers in this field, it is valuable to indicate the current challenges and the possibility for further research, because they tend to focus on the importance of missing research topics. © 2022 The Royal Society of New Zealand.","Crop yield prediction; deep learning; machine learning; precision agriculture; systematic literature review","algorithm; artificial neural network; crop yield; literature review; machine learning; precision agriculture; prediction",Review,Scopus
"Samundeeswari K., Srinivasan K.","Soil Data Analysis and Crop Yield Prediction in Data Mining using R-Tool",2021,"Indian Journal of Agricultural Research","10.18805/IJARe.A-5449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108572028&doi=10.18805%2fIJARe.A-5449&partnerID=40&md5=78a28c32cb4e99cc7be76462c562dfb3","Background: Crop yield prediction is an important issue for the proper selection of crop for sowing. Earlier prediction of crop is done by the farmer’s experience on a particular type of field and crop. Predicting the crop is done by the farmer’s experience based on the factors like soil types, climatic condition, seasons and weather, rainfall and irrigation facilities. Methods: Data mining techniques is the better choice for predicting the crop. Different Data Mining techniques are used and evaluated in agriculture for estimating the future year’s crop production. This research proposes and implements a system to predict crop yield from soil data. This is achieved by applying Decision Tree Algorithm on agricultural data. The main aim of this research is to pinpoint the accuracy of Decision Tree Algorithm and C 5.0 algorithm which is used to predict the crop yield. Result: This paper presents a brief analysis of Crop yield prediction using data mining technique based decision tree algorithm and C5.0 algorithm for the selected region (Krishnagiri) district of Tamil Nadu in India. The experimental result shows that the proposed work efficiently to determine the accuracy of decision tree algorithm and also to predict the crop yield production using R-Tool. © 2021. All Rights Reserved.","Crop yield prediction; Data mining; Decision tree algorithm; R-Tool; Soil data set",,Article,Scopus
"Lata K., Khan S.S.","Experimental analysis of machine learning algorithms based on agricultural dataset for improving crop yield prediction",2019,"International Journal of Engineering and Advanced Technology","10.35940/ijeat.F9308.109119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074578294&doi=10.35940%2fijeat.F9308.109119&partnerID=40&md5=a41ed570df26e6f06f90d0ec36b5d787","Agriculture is the primary research study area in India as agriculture is the main source of income for various communities. In classification algorithm for agricultural dataset according to production, area, crop and seasons. Here, four classification algorithms are used with the help of WEKA tool. These algorithms are namely the present scenario, there is a call to renovate the enormous agriculture data into diverse technologies and make them accessible to the farmer for improved decision making. The endeavor of this work is to find out the finest Random Tree, J48, Bayes Net and KStar etc. The captured results revealed that Random tree algorithm performed well in terms of error rate and provides slightly better performance than KStar, Bayes Net and J48 classifiers. In this paper, our objective is to apply machine learning techniques to mine constructive information from the agricultural dataset to improve the crop yield prediction for major crops in Nashik district of Maharashtra. © BEIESP.","Bayes Net; J48; KStar and Random Tree; Machine learning and Crop Yield Prediction; WEKA tool",,Article,Scopus
"Pham H.T., Awange J., Kuhn M., Van Nguyen B., Bui L.K.","Enhancing Crop Yield Prediction Utilizing Machine Learning on Satellite-Based Vegetation Health Indices",2022,"Sensors","10.3390/s22030719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122875584&doi=10.3390%2fs22030719&partnerID=40&md5=99f9a5861a129ffa6d4e62ce689d4522","Accurate crop yield forecasting is essential in the food industry’s decision-making process, where vegetation condition index (VCI) and thermal condition index (TCI) coupled with machine learning (ML) algorithms play crucial roles. The drawback, however, is that a one-fits-all prediction model is often employed over an entire region without considering subregional VCI and TCI’s spatial variability resulting from environmental and climatic factors. Furthermore, when using nonlinear ML, redundant VCI/TCI data present additional challenges that adversely affect the models’ output. This study proposes a framework that (i) employs higher-order spatial independent component analysis (sICA), and (ii), exploits a combination of the principal component analysis (PCA) and ML (i.e., PCA-ML combination) to deal with the two challenges in order to enhance crop yield prediction accuracy. The proposed framework consolidates common VCI/TCI spatial variability into their respective subregions, using Vietnam as an example. Compared to the one-fits-all approach, subregional rice yield forecasting models over Vietnam improved by an average level of 20% up to 60%. PCA-ML combination outper-formed ML-only by an average of 18.5% up to 45%. The framework generates rice yield predictions 1 to 2 months ahead of the harvest with an average of 5% error, displaying its reliability. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Crop yield prediction; Independent component analysis (ICA); Machine learning; Principle component analysis (PCA); Thermal condition index (TCI); Vegetation condition index (VCI)","Crops; Decision making; Forecasting; Independent component analysis; Principal component analysis; Vegetation; Condition index; Crop yield; Crop yield prediction; Independent component analyse; Independent components analysis; Principle component analyse; Principle components analysis; Thermal condition; Thermal condition index; Vegetation condition index; Vegetation condition indices; Yield prediction; Machine learning; algorithm; machine learning; Oryza; reproducibility; Algorithms; Machine Learning; Oryza; Reproducibility of Results",Article,Scopus
"Nosratabadi S., Szell K., Beszedes B., Imre F., Ardabili S., Mosavi A.","Comparative Analysis of ANN-ICA and ANN-GWO for Crop Yield Prediction",2020,"Proceedings - 2020 RIVF International Conference on Computing and Communication Technologies, RIVF 2020","10.1109/RIVF48685.2020.9140786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090269380&doi=10.1109%2fRIVF48685.2020.9140786&partnerID=40&md5=03684da7965b8dac9666289ec50ecedc","Prediction of crops yield is essential for food security policymaking, planning, and trade. The objective of the current study is to propose novel crop yield prediction models based on hybrid machine learning methods. In this study the performance of artificial neural networks-imperialist competitive algorithm (ANN-ICA) and artificial neural networks-gray wolf optimizer (ANN-GWO) models for the crop yield prediction are evaluated. According to the results, ANN-GWO, with R of 0.48, RMSE of 3.19, and MEA of 26.65, proved a better performance in the crop yield prediction compared to the ANN-ICA model. The results can be used by either practitioners, researchers or policymakers for food security. © 2020 IEEE.","artificial neural networks; crop yield; gray wolf optimization; Hybrid machine learning; imperialist competitive algorithm","Crops; Food supply; Forecasting; Learning systems; Neural networks; Optimization; Comparative analysis; Food security; Gray wolves; Hybrid machine learning; Imperialist competitive algorithms; Optimizers; Policy makers; Policy making; Predictive analytics",Conference Paper,Scopus
"Peng B., Guan K., Zhou W., Jiang C., Frankenberg C., Sun Y., He L., Köhler P.","Assessing the benefit of satellite-based Solar-Induced Chlorophyll Fluorescence in crop yield prediction",2020,"International Journal of Applied Earth Observation and Geoinformation","10.1016/j.jag.2020.102126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089499039&doi=10.1016%2fj.jag.2020.102126&partnerID=40&md5=ea8709059e8f9ce21f0dc3874b372b64","Large-scale crop yield prediction is critical for early warning of food insecurity, agricultural supply chain management, and economic market. Satellite-based Solar-Induced Chlorophyll Fluorescence (SIF) products have revealed hot spots of photosynthesis over global croplands, such as in the U.S. Midwest. However, to what extent these satellite-based SIF products can enhance the performance of crop yield prediction when benchmarking against other existing satellite data remains unclear. Here we assessed the benefits of using three satellite-based SIF products in yield prediction for maize and soybean in the U.S. Midwest: gap-filled SIF from Orbiting Carbon Observatory 2 (OCO-2), new SIF retrievals from the TROPOspheric Monitoring Instrument (TROPOMI), and the coarse-resolution SIF retrievals from the Global Ozone Monitoring Experiment-2 (GOME-2). The yield prediction performances of using SIF data were benchmarked with those using satellite-based vegetation indices (VIs), including normalized difference vegetation index (NDVI), enhanced vegetation index (EVI), and near-infrared reflectance of vegetation (NIRv), and land surface temperature (LST). Five machine-learning algorithms were used to build yield prediction models with both remote-sensing-only and climate-remote-sensing-combined variables. We found that high-resolution SIF products from OCO-2 and TROPOMI outperformed coarse-resolution GOME-2 SIF product in crop yield prediction. Using high-resolution SIF products gave the best forward predictions for both maize and soybean yields in 2018, indicating the great potential of using satellite-based high-resolution SIF products for crop yield prediction. However, using currently available high-resolution SIF products did not guarantee consistently better yield prediction performances than using other satellite-based remote sensing variables in all the evaluated cases. The relative performances of using different remote sensing variables in yield prediction depended on crop types (maize or soybean), out-of-sample testing methods (five-fold-cross-validation or forward), and record length of training data. We also found that using NIRv could generally lead to better yield prediction performance than using NDVI, EVI, or LST, and using NIRv could achieve similar or even better yield prediction performance than using OCO-2 or TROPOMI SIF products. We concluded that satellite-based SIF products could be beneficial in crop yield prediction with more high-resolution and good-quality SIF products accumulated in the future. © 2020 The Authors","crop yield; forecasting; machine learning; prediction; Solar-induced Chlorophyll Fluorescence","chlorophyll; crop yield; fluorescence; forecasting method; machine learning; maize; NDVI; prediction; satellite imagery; soybean; Midwest; United States; Glycine max",Article,Scopus
"Ines A.V.M., Hansen J.W., Robertson A.W.","Enhancing the utility of daily GCM rainfall for crop yield prediction",2011,"International Journal of Climatology","10.1002/joc.2223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054988347&doi=10.1002%2fjoc.2223&partnerID=40&md5=06e91c30691d6679daa073efff609ddd","Global climate models (GCMs) are promising for crop yield predictions because of their ability to simulate seasonal climate in advance of the growing season. However, their utility is limited by unrealistic time structure of daily rainfall and biases in rainfall frequency and intensity distributions. Crop growth is very sensitive to daily variations of rainfall; thus any mismatch in daily rainfall statistics could impact crop yield simulations. Here, we present an improved methodology to correct GCM rainfall biases and time structure mismatches for maize yield prediction in Katumani, Kenya. This includes GCM bias correction (BC), to correct over- or under-predictions of rainfall frequency and intensity, and nesting corrected GCM information with a stochastic weather generator, to generate daily rainfall realizations conditioned on a given monthly target. Bias-corrected daily GCM rainfall and generated rainfall realizations were used to evaluate crop response. Results showed that corrections of GCM rainfall frequency and intensity could improve crop yield prediction but yields remain under-predicted. This is strongly attributed to the time structure mismatch in daily GCM rainfall leading to excessively long dry spells. To address this, we tested several ways of improving daily structure of GCM rainfall. First, we tested calibrating thresholds in BC but were found not very effective for improving dry spell lengths. Second, we tested BC-stochastic disaggregation (BC-DisAg) and appeared to simulate more realistic dry spell lengths using bias-corrected GCM rainfall information (e.g., frequency, totals) as monthly targets. Using rainfall frequency alone to condition the weather generator removed biases in dry spell lengths, improved predicted yields, but under-predicted yield variability. Combining rainfall frequency and totals, however, not only produced more realistic yield variability but also corrected under-prediction of yields. We envisaged that the presented method would enhance the utility of daily GCM rainfall in crop yield prediction. © 2010 Royal Meteorological Society.","Bias correction; Crop models; GCM; Stochastic disaggregation; Weather generator","Bias correction; Crop models; GCM; Stochastic disaggregation; Weather generator; Climate models; Crops; Drought; Forecasting; Stochastic systems; Rain; climate modeling; computer simulation; correction; crop yield; global climate; maize; precipitation assessment; precipitation intensity; prediction; rainfall; stochasticity; Eastern Province [Kenya]; Katumani; Kenya; Zea mays",Article,Scopus
